feature_id,horizon,family,source
donchian_breakout20,1h,pilot_survivor_15m,development_screen_um_15m_2024q1_v3
donchian_breakout20,4h,pilot_survivor_15m,development_screen_um_15m_2024q1_v3
roc6,1h,pilot_survivor_15m,development_screen_um_15m_2024q1_v3
roc6,4h,pilot_survivor_15m,development_screen_um_15m_2024q1_v3
rvol20,4h,pilot_survivor_15m,development_screen_um_15m_2024q1_v3
vwap_deviation20,1h,pilot_survivor_15m,development_screen_um_15m_2024q1_v3
vwap_deviation20,4h,pilot_survivor_15m,development_screen_um_15m_2024q1_v3
taker_buy_sell_ratio,4h,pilot_survivor_15m,development_screen_um_15m_2024q1_v3
cvd_slope6,1h,pilot_survivor_15m,development_screen_um_15m_2024q1_v3
cvd_slope6,4h,pilot_survivor_15m,development_screen_um_15m_2024q1_v3
cvd_slope6,24h,pilot_survivor_15m,development_screen_um_15m_2024q1_v3
