symbol,timeframe,universe_month,selected_top50,relative_path,size_bytes
1000BONKUSDT,15m,2023-12,False,1000BONKUSDT/15m/1000BONKUSDT-15m-2023-12.zip,147296
1000BONKUSDT,15m,2024-01,True,1000BONKUSDT/15m/1000BONKUSDT-15m-2024-01.zip,142238
1000BONKUSDT,15m,2024-02,True,1000BONKUSDT/15m/1000BONKUSDT-15m-2024-02.zip,130567
1000FLOKIUSDT,15m,2023-09,False,1000FLOKIUSDT/15m/1000FLOKIUSDT-15m-2023-09.zip,112614
1000FLOKIUSDT,15m,2023-10,False,1000FLOKIUSDT/15m/1000FLOKIUSDT-15m-2023-10.zip,127548
1000FLOKIUSDT,15m,2023-11,True,1000FLOKIUSDT/15m/1000FLOKIUSDT-15m-2023-11.zip,124571
1000FLOKIUSDT,15m,2024-02,False,1000FLOKIUSDT/15m/1000FLOKIUSDT-15m-2024-02.zip,116012
1000LUNCUSDT,15m,2022-10,False,1000LUNCUSDT/15m/1000LUNCUSDT-15m-2022-10.zip,127970
1000LUNCUSDT,15m,2022-11,True,1000LUNCUSDT/15m/1000LUNCUSDT-15m-2022-11.zip,119059
1000LUNCUSDT,15m,2022-12,True,1000LUNCUSDT/15m/1000LUNCUSDT-15m-2022-12.zip,119923
1000LUNCUSDT,15m,2023-01,True,1000LUNCUSDT/15m/1000LUNCUSDT-15m-2023-01.zip,121264
1000LUNCUSDT,15m,2023-02,True,1000LUNCUSDT/15m/1000LUNCUSDT-15m-2023-02.zip,108561
1000LUNCUSDT,15m,2023-03,True,1000LUNCUSDT/15m/1000LUNCUSDT-15m-2023-03.zip,118934
1000LUNCUSDT,15m,2023-05,False,1000LUNCUSDT/15m/1000LUNCUSDT-15m-2023-05.zip,115570
1000LUNCUSDT,15m,2023-06,False,1000LUNCUSDT/15m/1000LUNCUSDT-15m-2023-06.zip,126611
1000LUNCUSDT,15m,2023-07,True,1000LUNCUSDT/15m/1000LUNCUSDT-15m-2023-07.zip,127491
1000LUNCUSDT,15m,2023-10,False,1000LUNCUSDT/15m/1000LUNCUSDT-15m-2023-10.zip,123086
1000LUNCUSDT,15m,2023-11,False,1000LUNCUSDT/15m/1000LUNCUSDT-15m-2023-11.zip,126807
1000LUNCUSDT,15m,2023-12,True,1000LUNCUSDT/15m/1000LUNCUSDT-15m-2023-12.zip,137848
1000LUNCUSDT,15m,2024-01,True,1000LUNCUSDT/15m/1000LUNCUSDT-15m-2024-01.zip,132635
1000PEPEUSDT,15m,2023-06,False,1000PEPEUSDT/15m/1000PEPEUSDT-15m-2023-06.zip,145694
1000PEPEUSDT,15m,2023-07,True,1000PEPEUSDT/15m/1000PEPEUSDT-15m-2023-07.zip,147254
1000PEPEUSDT,15m,2023-08,True,1000PEPEUSDT/15m/1000PEPEUSDT-15m-2023-08.zip,146344
1000PEPEUSDT,15m,2023-09,True,1000PEPEUSDT/15m/1000PEPEUSDT-15m-2023-09.zip,138264
1000PEPEUSDT,15m,2023-10,True,1000PEPEUSDT/15m/1000PEPEUSDT-15m-2023-10.zip,144125
1000PEPEUSDT,15m,2023-11,True,1000PEPEUSDT/15m/1000PEPEUSDT-15m-2023-11.zip,141189
1000PEPEUSDT,15m,2023-12,True,1000PEPEUSDT/15m/1000PEPEUSDT-15m-2023-12.zip,146516
1000PEPEUSDT,15m,2024-01,True,1000PEPEUSDT/15m/1000PEPEUSDT-15m-2024-01.zip,143525
1000PEPEUSDT,15m,2024-02,True,1000PEPEUSDT/15m/1000PEPEUSDT-15m-2024-02.zip,135756
1000SATSUSDT,15m,2024-01,False,1000SATSUSDT/15m/1000SATSUSDT-15m-2024-01.zip,145482
