symbol,timeframe,universe_month,selected_top50,relative_path,size_bytes
1000BONKUSDT,1h,2023-12,False,1000BONKUSDT/1h/1000BONKUSDT-1h-2023-12.zip,39415
1000BONKUSDT,1h,2024-01,True,1000BONKUSDT/1h/1000BONKUSDT-1h-2024-01.zip,37974
1000BONKUSDT,1h,2024-02,True,1000BONKUSDT/1h/1000BONKUSDT-1h-2024-02.zip,34837
1000FLOKIUSDT,1h,2023-09,False,1000FLOKIUSDT/1h/1000FLOKIUSDT-1h-2023-09.zip,30701
1000FLOKIUSDT,1h,2023-10,False,1000FLOKIUSDT/1h/1000FLOKIUSDT-1h-2023-10.zip,34461
1000FLOKIUSDT,1h,2023-11,True,1000FLOKIUSDT/1h/1000FLOKIUSDT-1h-2023-11.zip,33467
1000FLOKIUSDT,1h,2024-02,False,1000FLOKIUSDT/1h/1000FLOKIUSDT-1h-2024-02.zip,31513
1000LUNCUSDT,1h,2022-10,False,1000LUNCUSDT/1h/1000LUNCUSDT-1h-2022-10.zip,34515
1000LUNCUSDT,1h,2022-11,True,1000LUNCUSDT/1h/1000LUNCUSDT-1h-2022-11.zip,32246
1000LUNCUSDT,1h,2022-12,True,1000LUNCUSDT/1h/1000LUNCUSDT-1h-2022-12.zip,32650
1000LUNCUSDT,1h,2023-01,True,1000LUNCUSDT/1h/1000LUNCUSDT-1h-2023-01.zip,32892
1000LUNCUSDT,1h,2023-02,True,1000LUNCUSDT/1h/1000LUNCUSDT-1h-2023-02.zip,29586
1000LUNCUSDT,1h,2023-03,True,1000LUNCUSDT/1h/1000LUNCUSDT-1h-2023-03.zip,32265
1000LUNCUSDT,1h,2023-05,False,1000LUNCUSDT/1h/1000LUNCUSDT-1h-2023-05.zip,31532
1000LUNCUSDT,1h,2023-06,False,1000LUNCUSDT/1h/1000LUNCUSDT-1h-2023-06.zip,34053
1000LUNCUSDT,1h,2023-07,True,1000LUNCUSDT/1h/1000LUNCUSDT-1h-2023-07.zip,34366
1000LUNCUSDT,1h,2023-10,False,1000LUNCUSDT/1h/1000LUNCUSDT-1h-2023-10.zip,33341
1000LUNCUSDT,1h,2023-11,False,1000LUNCUSDT/1h/1000LUNCUSDT-1h-2023-11.zip,34105
1000LUNCUSDT,1h,2023-12,True,1000LUNCUSDT/1h/1000LUNCUSDT-1h-2023-12.zip,36962
1000LUNCUSDT,1h,2024-01,True,1000LUNCUSDT/1h/1000LUNCUSDT-1h-2024-01.zip,35521
1000PEPEUSDT,1h,2023-06,False,1000PEPEUSDT/1h/1000PEPEUSDT-1h-2023-06.zip,38971
1000PEPEUSDT,1h,2023-07,True,1000PEPEUSDT/1h/1000PEPEUSDT-1h-2023-07.zip,39385
1000PEPEUSDT,1h,2023-08,True,1000PEPEUSDT/1h/1000PEPEUSDT-1h-2023-08.zip,39220
1000PEPEUSDT,1h,2023-09,True,1000PEPEUSDT/1h/1000PEPEUSDT-1h-2023-09.zip,37065
1000PEPEUSDT,1h,2023-10,True,1000PEPEUSDT/1h/1000PEPEUSDT-1h-2023-10.zip,38690
1000PEPEUSDT,1h,2023-11,True,1000PEPEUSDT/1h/1000PEPEUSDT-1h-2023-11.zip,37717
1000PEPEUSDT,1h,2023-12,True,1000PEPEUSDT/1h/1000PEPEUSDT-1h-2023-12.zip,39199
1000PEPEUSDT,1h,2024-01,True,1000PEPEUSDT/1h/1000PEPEUSDT-1h-2024-01.zip,38486
1000PEPEUSDT,1h,2024-02,True,1000PEPEUSDT/1h/1000PEPEUSDT-1h-2024-02.zip,36391
1000SATSUSDT,1h,2024-01,False,1000SATSUSDT/1h/1000SATSUSDT-1h-2024-01.zip,38909
1000SATSUSDT,1h,2024-02,True,1000SATSUSDT/1h/1000SATSUSDT-1h-2024-02.zip,36254
1000SHIBUSDT,1h,2021-06,False,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2021-06.zip,36172
1000SHIBUSDT,1h,2021-07,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2021-07.zip,36064
1000SHIBUSDT,1h,2021-08,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2021-08.zip,36456
1000SHIBUSDT,1h,2021-09,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2021-09.zip,35313
1000SHIBUSDT,1h,2021-10,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2021-10.zip,39740
1000SHIBUSDT,1h,2021-11,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2021-11.zip,38301
1000SHIBUSDT,1h,2021-12,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2021-12.zip,38538
1000SHIBUSDT,1h,2022-01,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2022-01.zip,38044
1000SHIBUSDT,1h,2022-02,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2022-02.zip,35169
1000SHIBUSDT,1h,2022-03,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2022-03.zip,37793
1000SHIBUSDT,1h,2022-04,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2022-04.zip,36397
1000SHIBUSDT,1h,2022-05,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2022-05.zip,37569
1000SHIBUSDT,1h,2022-06,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2022-06.zip,36165
1000SHIBUSDT,1h,2022-07,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2022-07.zip,36875
1000SHIBUSDT,1h,2022-08,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2022-08.zip,37273
1000SHIBUSDT,1h,2022-09,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2022-09.zip,35608
1000SHIBUSDT,1h,2022-10,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2022-10.zip,36471
1000SHIBUSDT,1h,2022-11,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2022-11.zip,35560
1000SHIBUSDT,1h,2022-12,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2022-12.zip,35312
1000SHIBUSDT,1h,2023-01,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2023-01.zip,36857
1000SHIBUSDT,1h,2023-02,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2023-02.zip,33791
1000SHIBUSDT,1h,2023-03,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2023-03.zip,36505
1000SHIBUSDT,1h,2023-04,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2023-04.zip,34816
1000SHIBUSDT,1h,2023-05,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2023-05.zip,35324
1000SHIBUSDT,1h,2023-06,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2023-06.zip,34916
1000SHIBUSDT,1h,2023-07,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2023-07.zip,35731
1000SHIBUSDT,1h,2023-08,True,1000SHIBUSDT/1h/1000SHIBUSDT-1h-2023-08.zip,37287
