feature_id,timeframe,horizon,availability_status,eligible_observations,valid_symbols,valid_temporal_folds,independent_calendar_block_count,aggregate_paired_delta_log_loss,positive_fold_fraction,symbol_concentration,brier_improvement,status,rejection_reason,first_observed_time,last_observed_time,valid_rows,valid_months,coverage_fraction
donchian_breakout20,4h,4h,HISTORICAL_AVAILABLE,283,1,3,48,-0.00040194497310937677,0.3333333333333333,1.0,-0.00020020317622040004,S0_REJECTED,non-positive aggregate paired delta log-loss; not positive in a majority of valid folds; insufficient multi-symbol coverage; excessive single-symbol concentration,,,,,
donchian_breakout20,4h,24h,HISTORICAL_AVAILABLE,278,1,3,47,-0.006764434797707534,0.3333333333333333,1.0,-0.003374611469446879,S0_REJECTED,non-positive aggregate paired delta log-loss; not positive in a majority of valid folds; insufficient multi-symbol coverage; excessive single-symbol concentration,,,,,
roc6,4h,4h,HISTORICAL_AVAILABLE,283,1,3,48,-0.00024341306553217945,0.6666666666666666,1.0,-0.00012042731690387054,S0_REJECTED,non-positive aggregate paired delta log-loss; insufficient multi-symbol coverage; excessive single-symbol concentration,,,,,
roc6,4h,24h,HISTORICAL_AVAILABLE,278,1,3,47,0.0008322245212670406,0.6666666666666666,1.0,0.00040959055749650863,S0_REJECTED,insufficient multi-symbol coverage; excessive single-symbol concentration,,,,,
rvol20,4h,4h,HISTORICAL_AVAILABLE,283,1,3,48,6.255027631714889e-05,0.6666666666666666,1.0,3.196121108307396e-05,S0_REJECTED,insufficient multi-symbol coverage; excessive single-symbol concentration,,,,,
rvol20,4h,24h,HISTORICAL_AVAILABLE,278,1,3,47,-0.006677982887264696,0.3333333333333333,1.0,-0.003331361943634259,S0_REJECTED,non-positive aggregate paired delta log-loss; not positive in a majority of valid folds; insufficient multi-symbol coverage; excessive single-symbol concentration,,,,,
vwap_deviation20,4h,4h,HISTORICAL_AVAILABLE,283,1,3,48,-0.0005908097434033458,0.3333333333333333,1.0,-0.00029451547792987604,S0_REJECTED,non-positive aggregate paired delta log-loss; not positive in a majority of valid folds; insufficient multi-symbol coverage; excessive single-symbol concentration,,,,,
vwap_deviation20,4h,24h,HISTORICAL_AVAILABLE,278,1,3,47,-0.00587349856775136,0.3333333333333333,1.0,-0.0029303317008841923,S0_REJECTED,non-positive aggregate paired delta log-loss; not positive in a majority of valid folds; insufficient multi-symbol coverage; excessive single-symbol concentration,,,,,
taker_buy_sell_ratio,4h,4h,HISTORICAL_AVAILABLE,283,1,3,48,-0.001533404330690417,0.0,1.0,-0.0007652474685475122,S0_REJECTED,non-positive aggregate paired delta log-loss; not positive in a majority of valid folds; insufficient multi-symbol coverage; excessive single-symbol concentration,,,,,
taker_buy_sell_ratio,4h,24h,HISTORICAL_AVAILABLE,278,1,3,47,1.617989981520888e-05,0.6666666666666666,1.0,1.8061908874933419e-06,S0_REJECTED,insufficient multi-symbol coverage; excessive single-symbol concentration,,,,,
cvd_slope6,4h,4h,HISTORICAL_AVAILABLE,283,1,3,48,0.00034216017368885837,0.6666666666666666,1.0,0.00017152683864726792,S0_REJECTED,insufficient multi-symbol coverage; excessive single-symbol concentration,,,,,
cvd_slope6,4h,24h,HISTORICAL_AVAILABLE,278,1,3,47,-0.00034125061839355525,0.6666666666666666,1.0,-0.00017641060898983726,S0_REJECTED,non-positive aggregate paired delta log-loss; insufficient multi-symbol coverage; excessive single-symbol concentration,,,,,
bb_bandwidth20,4h,4h,HISTORICAL_AVAILABLE,283,1,3,48,-0.0005805139803106337,0.0,1.0,-0.00028942611762975784,S0_REJECTED,non-positive aggregate paired delta log-loss; not positive in a majority of valid folds; insufficient multi-symbol coverage; excessive single-symbol concentration,,,,,
bb_bandwidth20,4h,24h,HISTORICAL_AVAILABLE,278,1,3,47,-0.006413583351162082,0.3333333333333333,1.0,-0.003201013721025492,S0_REJECTED,non-positive aggregate paired delta log-loss; not positive in a majority of valid folds; insufficient multi-symbol coverage; excessive single-symbol concentration,,,,,
premium,4h,4h,HISTORICAL_UNAVAILABLE,0,0,0,0,,,,,HISTORICAL_UNAVAILABLE,unavailable for every symbol,,,0.0,0.0,0.0
premium,4h,24h,HISTORICAL_UNAVAILABLE,0,0,0,0,,,,,HISTORICAL_UNAVAILABLE,unavailable for every symbol,,,0.0,0.0,0.0
premium_zscore90,4h,4h,HISTORICAL_AVAILABLE,0,0,0,0,,,,,S0_REJECTED,non-positive aggregate paired delta log-loss; not positive in a majority of valid folds; fewer than two independent calendar blocks; insufficient multi-symbol coverage,,,,,
premium_zscore90,4h,24h,HISTORICAL_AVAILABLE,0,0,0,0,,,,,S0_REJECTED,non-positive aggregate paired delta log-loss; not positive in a majority of valid folds; fewer than two independent calendar blocks; insufficient multi-symbol coverage,,,,,
