market,universe_month,symbol,selected_top20_old,selected_top50_old,selected_top100_old,selected_top20_new,selected_top50_new,selected_top100_new,membership_changed
spot,2025-02,1000SATSUSDT,False,False,True,,,,True
spot,2025-02,1MBABYDOGEUSDT,False,False,True,,,,True
spot,2025-02,AAVEUSDT,False,True,True,,,,True
spot,2025-02,ACHUSDT,False,False,True,,,,True
spot,2025-02,ACTUSDT,False,True,True,,,,True
spot,2025-02,ADAUSDT,True,True,True,,,,True
spot,2025-02,AGLDUSDT,False,False,True,,,,True
spot,2025-02,AIUSDT,False,False,True,,,,True
spot,2025-02,ALGOUSDT,False,True,True,,,,True
spot,2025-02,APEUSDT,False,False,True,,,,True
spot,2025-02,APTUSDT,False,True,True,,,,True
spot,2025-02,ARBUSDT,False,True,True,,,,True
spot,2025-02,ARKMUSDT,False,False,True,,,,True
spot,2025-02,ATOMUSDT,False,False,True,,,,True
spot,2025-02,AVAXUSDT,False,True,True,,,,True
spot,2025-02,BCHUSDT,False,False,True,,,,True
spot,2025-02,BNBUSDT,True,True,True,,,,True
spot,2025-02,BOMEUSDT,False,False,True,,,,True
spot,2025-02,BONKUSDT,False,True,True,,,,True
spot,2025-02,BTCUSDT,True,True,True,,,,True
spot,2025-02,CAKEUSDT,False,False,True,,,,True
spot,2025-02,COWUSDT,False,False,True,,,,True
spot,2025-02,CRVUSDT,False,True,True,,,,True
spot,2025-02,DOGEUSDT,True,True,True,,,,True
spot,2025-02,DOTUSDT,False,True,True,,,,True
spot,2025-02,DYDXUSDT,False,False,True,,,,True
spot,2025-02,EIGENUSDT,False,False,True,,,,True
spot,2025-02,ENAUSDT,True,True,True,,,,True
spot,2025-02,ENSUSDT,False,False,True,,,,True
spot,2025-02,EOSUSDT,False,False,True,,,,True
spot,2025-02,ETCUSDT,False,False,True,,,,True
spot,2025-02,ETHFIUSDT,False,False,True,,,,True
spot,2025-02,ETHUSDT,True,True,True,,,,True
spot,2025-02,FETUSDT,False,True,True,,,,True
spot,2025-02,FILUSDT,False,True,True,,,,True
spot,2025-02,FLOKIUSDT,False,True,True,,,,True
spot,2025-02,GALAUSDT,False,True,True,,,,True
spot,2025-02,GMTUSDT,False,False,True,,,,True
spot,2025-02,GRTUSDT,False,False,True,,,,True
spot,2025-02,HBARUSDT,True,True,True,,,,True
spot,2025-02,HIVEUSDT,False,False,True,,,,True
spot,2025-02,ICPUSDT,False,False,True,,,,True
