market,universe_month,candidate_count,eligible_count,top20,top50,top100,partial_prior_month,membership_gap
spot,2017-09,2,0,0,0,0,2,1
spot,2017-10,2,2,2,2,2,0,1
spot,2017-11,2,2,2,2,2,0,1
spot,2017-12,5,2,2,2,2,3,1
spot,2018-01,6,5,5,5,5,1,1
spot,2018-02,6,6,6,6,6,0,1
spot,2018-03,6,6,6,6,6,0,1
spot,2018-04,7,6,6,6,6,1,1
spot,2018-05,8,7,7,7,7,1,1
spot,2018-06,12,8,8,8,8,4,1
spot,2018-07,17,12,12,12,12,5,1
spot,2018-08,19,16,16,16,16,3,1
spot,2018-09,18,18,18,18,18,0,1
spot,2018-10,18,18,18,18,18,0,1
spot,2018-11,20,18,18,18,18,2,1
spot,2018-12,20,18,18,18,18,2,1
spot,2019-01,20,20,20,20,20,0,1
spot,2019-02,22,20,20,20,20,2,1
spot,2019-03,28,22,20,22,22,6,1
spot,2019-04,35,29,20,29,29,6,1
spot,2019-05,42,34,20,34,34,8,1
spot,2019-06,42,41,20,41,41,1,1
spot,2019-07,46,42,20,42,42,3,1
spot,2019-08,51,46,20,46,46,4,1
spot,2019-09,66,51,20,50,51,14,0
spot,2019-10,74,65,20,50,65,9,0
spot,2019-11,76,73,20,50,73,3,0
spot,2019-12,82,75,20,50,75,7,0
spot,2020-01,84,81,20,50,81,3,0
spot,2020-02,87,84,20,50,84,3,0
spot,2020-03,96,87,20,50,87,9,0
spot,2020-04,97,96,20,50,96,1,0
spot,2020-05,102,97,20,50,97,5,0
spot,2020-06,106,102,20,50,100,4,0
spot,2020-07,113,104,20,50,100,9,0
spot,2020-08,121,111,20,50,100,10,0
spot,2020-09,142,120,20,50,100,22,0
spot,2020-10,158,140,20,50,100,16,0
spot,2020-11,167,156,20,50,100,11,0
spot,2020-12,174,163,20,50,100,11,0
spot,2021-01,182,172,20,50,100,9,0
spot,2021-02,188,180,20,50,100,8,0
spot,2021-03,193,188,20,50,100,5,0
spot,2021-04,203,191,20,50,100,12,0
spot,2021-05,216,202,20,50,100,14,0
spot,2021-06,222,215,20,50,100,7,0
spot,2021-07,230,221,20,50,100,9,0
spot,2021-08,238,231,20,50,100,7,0
spot,2021-09,251,238,20,50,100,13,0
