feature,market,timeframe,research_eligible_rows,finite_rows,coverage_fraction,first_finite_timestamp,last_finite_timestamp,classification,reason
core_technical,spot,15m,13247336,17952556,0.9941,,,R2A_PRIMARY,final_panel_audit_native_materialization
core_technical,spot,15m,13247336,18028016,0.9983,,,R2A_PRIMARY,final_panel_audit_native_materialization
btc_context,spot,15m,13247336,17977218,0.9955,,,R2A_PRIMARY,final_panel_audit_native_materialization
market_breadth,spot,15m,13247336,17979575,0.9956,,,R2A_PRIMARY,final_panel_audit_native_materialization
core_technical,spot,1h,3312138,4412725,0.9773,,,R2A_PRIMARY,final_panel_audit_native_materialization
core_technical,spot,1h,3312138,4485599,0.9935,,,R2A_PRIMARY,final_panel_audit_native_materialization
btc_context,spot,1h,3312138,4434023,0.9821,,,R2A_PRIMARY,final_panel_audit_native_materialization
core_technical,spot,4h,828615,1082088,0.958,,,R2A_PRIMARY,final_panel_audit_native_materialization
core_technical,spot,4h,828615,1115964,0.988,,,R2A_PRIMARY,final_panel_audit_native_materialization
btc_context,spot,4h,828615,1048571,0.9283,,,R2A_PRIMARY,final_panel_audit_native_materialization
market_breadth,spot,4h,828615,1117240,0.9891,,,R2A_PRIMARY,final_panel_audit_native_materialization
core_technical,um,15m,10698873,15331155,0.9976,,,R2A_PRIMARY,final_panel_audit_native_materialization
core_technical,um,15m,10698873,15357685,0.9993,,,R2A_PRIMARY,final_panel_audit_native_materialization
btc_context,um,15m,10698873,15287901,0.9948,,,R2A_PRIMARY,final_panel_audit_native_materialization
market_breadth,um,15m,10698873,15289137,0.9948,,,R2A_PRIMARY,final_panel_audit_native_materialization
funding,um,15m,10698873,15289687,0.9949,,,R2A_PRIMARY,final_panel_audit_native_materialization
premium,um,15m,10698873,15289687,0.9949,,,R2A_PRIMARY,final_panel_audit_native_materialization
core_technical,um,1h,2674721,3804980,0.9903,,,R2A_PRIMARY,final_panel_audit_native_materialization
core_technical,um,1h,2674721,3831510,0.9972,,,R2A_PRIMARY,final_panel_audit_native_materialization
btc_context,um,1h,2674721,3761726,0.9791,,,R2A_PRIMARY,final_panel_audit_native_materialization
funding,um,1h,2674721,3822502,0.9949,,,R2A_PRIMARY,final_panel_audit_native_materialization
premium,um,1h,2674721,3822502,0.9949,,,R2A_PRIMARY,final_panel_audit_native_materialization
core_technical,um,4h,668683,923484,0.9613,,,R2A_PRIMARY,final_panel_audit_native_materialization
core_technical,um,4h,668683,950014,0.989,,,R2A_PRIMARY,final_panel_audit_native_materialization
btc_context,um,4h,668683,880230,0.9163,,,R2A_PRIMARY,final_panel_audit_native_materialization
market_breadth,um,4h,668683,952187,0.9912,,,R2A_PRIMARY,final_panel_audit_native_materialization
funding,um,4h,668683,955717,0.9949,,,R2A_PRIMARY,final_panel_audit_native_materialization
premium,um,4h,668683,955717,0.9949,,,R2A_PRIMARY,final_panel_audit_native_materialization
final_holdout,spot,15m,,,,,,NOT_APPLICABLE,UNTOUCHED
final_holdout,um,15m,,,,,,NOT_APPLICABLE,UNTOUCHED
