market,universe_month,requested_n,actual_n,shortfall_reason
spot,2017-09,50,0,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2017-10,50,2,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2017-11,50,2,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2017-12,50,2,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2018-01,50,5,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2018-02,50,6,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2018-03,50,6,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2018-04,50,6,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2018-05,50,7,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2018-06,50,8,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2018-07,50,12,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2018-08,50,16,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2018-09,50,18,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2018-10,50,18,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2018-11,50,18,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2018-12,50,18,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2019-01,50,20,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2019-02,50,20,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2019-03,50,22,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2019-04,50,29,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2019-05,50,34,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2019-06,50,41,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2019-07,50,42,INSUFFICIENT_ELIGIBLE_HISTORY
spot,2019-08,50,46,INSUFFICIENT_ELIGIBLE_HISTORY
um,2020-02,50,0,INSUFFICIENT_ELIGIBLE_HISTORY
um,2020-03,50,11,INSUFFICIENT_ELIGIBLE_HISTORY
um,2020-04,50,24,INSUFFICIENT_ELIGIBLE_HISTORY
um,2020-05,50,24,INSUFFICIENT_ELIGIBLE_HISTORY
um,2020-06,50,24,INSUFFICIENT_ELIGIBLE_HISTORY
um,2020-07,50,25,INSUFFICIENT_ELIGIBLE_HISTORY
um,2020-08,50,30,INSUFFICIENT_ELIGIBLE_HISTORY
um,2020-09,50,37,INSUFFICIENT_ELIGIBLE_HISTORY
um,2020-10,50,43,INSUFFICIENT_ELIGIBLE_HISTORY
