market,symbol,archive_month,exclusion_reason
spot,AXSUSDT,2026-02,PARTIAL_LISTING_MONTH
spot,BCCUSDT,2018-11,PARTIAL_LISTING_MONTH
spot,BNXUSDT,2023-02,PARTIAL_LISTING_MONTH
spot,BTCSTUSDT,2021-03,PARTIAL_LISTING_MONTH
spot,BTTUSDT,2019-01,PARTIAL_LISTING_MONTH
spot,BTTUSDT,2019-02,PARTIAL_LISTING_MONTH
spot,COCOSUSDT,2021-01,PARTIAL_LISTING_MONTH
spot,KLAYUSDT,2024-10,OTHER_REAL_FAILURE
spot,LUNAUSDT,2022-05,PARTIAL_LISTING_MONTH
spot,QUICKUSDT,2023-07,PARTIAL_LISTING_MONTH
spot,STRAXUSDT,2024-03,PARTIAL_LISTING_MONTH
spot,SUNUSDT,2021-06,PARTIAL_LISTING_MONTH
spot,UMAUSDT,2026-07,PARTIAL_LISTING_MONTH
spot,币安人生USDT,2026-01,OTHER_REAL_FAILURE
spot,币安人生USDT,2026-02,OTHER_REAL_FAILURE
spot,币安人生USDT,2026-03,OTHER_REAL_FAILURE
spot,币安人生USDT,2026-04,OTHER_REAL_FAILURE
spot,币安人生USDT,2026-05,OTHER_REAL_FAILURE
spot,币安人生USDT,2026-06,OTHER_REAL_FAILURE
spot,币安人生USDT,2026-07,OTHER_REAL_FAILURE
um,BNXUSDT,2022-04,PARTIAL_LISTING_MONTH
um,BNXUSDT,2022-06,PARTIAL_LISTING_MONTH
um,BNXUSDT,2022-08,PARTIAL_LISTING_MONTH
um,币安人生USDT,2025-10,OTHER_REAL_FAILURE
um,币安人生USDT,2025-11,OTHER_REAL_FAILURE
um,币安人生USDT,2025-12,OTHER_REAL_FAILURE
um,币安人生USDT,2026-01,OTHER_REAL_FAILURE
um,币安人生USDT,2026-02,OTHER_REAL_FAILURE
um,币安人生USDT,2026-03,OTHER_REAL_FAILURE
um,币安人生USDT,2026-04,OTHER_REAL_FAILURE
um,币安人生USDT,2026-05,OTHER_REAL_FAILURE
um,币安人生USDT,2026-06,OTHER_REAL_FAILURE
um,币安人生USDT,2026-07,OTHER_REAL_FAILURE
um,我踏马来了USDT,2026-01,OTHER_REAL_FAILURE
um,我踏马来了USDT,2026-02,OTHER_REAL_FAILURE
um,我踏马来了USDT,2026-03,OTHER_REAL_FAILURE
um,我踏马来了USDT,2026-04,OTHER_REAL_FAILURE
um,我踏马来了USDT,2026-05,OTHER_REAL_FAILURE
um,我踏马来了USDT,2026-06,OTHER_REAL_FAILURE
um,我踏马来了USDT,2026-07,OTHER_REAL_FAILURE
um,龙虾USDT,2026-03,OTHER_REAL_FAILURE
um,龙虾USDT,2026-04,OTHER_REAL_FAILURE
um,龙虾USDT,2026-05,OTHER_REAL_FAILURE
um,龙虾USDT,2026-06,OTHER_REAL_FAILURE
um,龙虾USDT,2026-07,OTHER_REAL_FAILURE
