market,symbol,archive_dataset,interval,first_archive_month,last_archive_month,available_month_count,missing_month_count_inside_observed_span,object_count,compressed_bytes_from_s3_listing,first_key,last_key,eligible,instrument_class,exclusion_reason,evidence
spot,0GBNB,klines,15m,2025-09,2026-01,5,0,5,215068,data/spot/monthly/klines/0GBNB/15m/0GBNB-15m-2025-09.zip,data/spot/monthly/klines/0GBNB/15m/0GBNB-15m-2026-01.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,0GFDUSD,klines,15m,2025-09,2026-01,5,0,5,212968,data/spot/monthly/klines/0GFDUSD/15m/0GFDUSD-15m-2025-09.zip,data/spot/monthly/klines/0GFDUSD/15m/0GFDUSD-15m-2026-01.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,0GTRY,klines,15m,2025-09,2026-07,11,0,11,1107997,data/spot/monthly/klines/0GTRY/15m/0GTRY-15m-2025-09.zip,data/spot/monthly/klines/0GTRY/15m/0GTRY-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,0GUSDC,klines,15m,2025-09,2026-07,11,0,11,1102062,data/spot/monthly/klines/0GUSDC/15m/0GUSDC-15m-2025-09.zip,data/spot/monthly/klines/0GUSDC/15m/0GUSDC-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,0GUSDT,klines,15m,2025-09,2026-07,11,0,11,1196341,data/spot/monthly/klines/0GUSDT/15m/0GUSDT-15m-2025-09.zip,data/spot/monthly/klines/0GUSDT/15m/0GUSDT-15m-2026-07.zip,True,SPOT_ORDINARY_USDT,,USDT quote plus non-leveraged symbol policy
spot,1000CATBNB,klines,15m,2024-12,2025-09,10,0,10,457824,data/spot/monthly/klines/1000CATBNB/15m/1000CATBNB-15m-2024-12.zip,data/spot/monthly/klines/1000CATBNB/15m/1000CATBNB-15m-2025-09.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,1000CATFDUSD,klines,15m,2024-12,2025-10,11,0,11,666869,data/spot/monthly/klines/1000CATFDUSD/15m/1000CATFDUSD-15m-2024-12.zip,data/spot/monthly/klines/1000CATFDUSD/15m/1000CATFDUSD-15m-2025-10.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,1000CATTRY,klines,15m,2024-12,2026-07,20,0,20,1773707,data/spot/monthly/klines/1000CATTRY/15m/1000CATTRY-15m-2024-12.zip,data/spot/monthly/klines/1000CATTRY/15m/1000CATTRY-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,1000CATUSDC,klines,15m,2024-12,2026-07,20,0,20,1552207,data/spot/monthly/klines/1000CATUSDC/15m/1000CATUSDC-15m-2024-12.zip,data/spot/monthly/klines/1000CATUSDC/15m/1000CATUSDC-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,1000CATUSDT,klines,15m,2024-12,2026-07,20,0,20,2286048,data/spot/monthly/klines/1000CATUSDT/15m/1000CATUSDT-15m-2024-12.zip,data/spot/monthly/klines/1000CATUSDT/15m/1000CATUSDT-15m-2026-07.zip,True,SPOT_ORDINARY_USDT,,USDT quote plus non-leveraged symbol policy
