market,symbol,timeframe,first_timestamp,last_timestamp,row_count,source_grid,archive_objects,archive_months_with_issues,coverage_status
spot,BTCUSDT,15m,2017-08-17T04:00:00+00:00,2026-07-31T23:45:00+00:00,313438,15m,108,25,PARTIAL
spot,BTCUSDT,1h,2017-08-17T04:00:00+00:00,2026-07-31T23:45:00+00:00,78346,15m->1h,108,25,PARTIAL
spot,BTCUSDT,4h,2017-08-17T04:00:00+00:00,2026-07-31T23:45:00+00:00,19560,15m->4h,108,25,PARTIAL
spot,ETHUSDT,15m,2017-08-17T04:00:00+00:00,2026-07-31T23:45:00+00:00,313438,15m,108,25,PARTIAL
spot,ETHUSDT,1h,2017-08-17T04:00:00+00:00,2026-07-31T23:45:00+00:00,78346,15m->1h,108,25,PARTIAL
spot,ETHUSDT,4h,2017-08-17T04:00:00+00:00,2026-07-31T23:45:00+00:00,19560,15m->4h,108,25,PARTIAL
um,BTCUSDT,15m,2020-01-01T00:00:00+00:00,2026-07-31T23:45:00+00:00,230784,15m,79,0,AVAILABLE
um,BTCUSDT,1h,2020-01-01T00:00:00+00:00,2026-07-31T23:45:00+00:00,57696,15m->1h,79,0,AVAILABLE
um,BTCUSDT,4h,2020-01-01T00:00:00+00:00,2026-07-31T23:45:00+00:00,14424,15m->4h,79,0,AVAILABLE
um,ETHUSDT,15m,2020-01-01T00:00:00+00:00,2026-07-31T23:45:00+00:00,230784,15m,79,0,AVAILABLE
um,ETHUSDT,1h,2020-01-01T00:00:00+00:00,2026-07-31T23:45:00+00:00,57696,15m->1h,79,0,AVAILABLE
um,ETHUSDT,4h,2020-01-01T00:00:00+00:00,2026-07-31T23:45:00+00:00,14424,15m->4h,79,0,AVAILABLE
