dataset,prefix,status,pages,symbol_prefix_count,object_count,sample_prefix,sample_object
um_funding_monthly,data/futures/um/monthly/fundingRate/,PRESENT,1,920,0,data/futures/um/monthly/fundingRate/0GUSDT/,
um_funding_daily,data/futures/um/daily/fundingRate/,EMPTY_OR_UNLISTED_AT_THE_PROBED_PATH,1,0,0,,
um_premium_index_monthly,data/futures/um/monthly/premiumIndexKlines/,PRESENT,1,916,0,data/futures/um/monthly/premiumIndexKlines/0GUSDT/,
um_premium_price_monthly,data/futures/um/monthly/premiumPriceKlines/,EMPTY_OR_UNLISTED_AT_THE_PROBED_PATH,1,0,0,,
um_mark_price_monthly,data/futures/um/monthly/markPriceKlines/,PRESENT,1,971,0,data/futures/um/monthly/markPriceKlines/0GUSDT/,
um_index_price_monthly,data/futures/um/monthly/indexPriceKlines/,PRESENT,1,915,0,data/futures/um/monthly/indexPriceKlines/0GUSDT/,
um_metrics_monthly,data/futures/um/monthly/metrics/,EMPTY_OR_UNLISTED_AT_THE_PROBED_PATH,1,0,0,,
um_metrics_daily,data/futures/um/daily/metrics/,PRESENT,1,980,0,data/futures/um/daily/metrics/0GUSDT/,
um_book_ticker_monthly,data/futures/um/monthly/bookTicker/,PRESENT,1,315,0,data/futures/um/monthly/bookTicker/1000BONKUSDT/,
um_book_ticker_daily,data/futures/um/daily/bookTicker/,PRESENT,1,315,0,data/futures/um/daily/bookTicker/1000BONKUSDT/,
um_book_depth_monthly,data/futures/um/monthly/bookDepth/,EMPTY_OR_UNLISTED_AT_THE_PROBED_PATH,1,0,0,,
um_book_depth_daily,data/futures/um/daily/bookDepth/,PRESENT,1,950,0,data/futures/um/daily/bookDepth/0GUSDT/,
um_aggtrades_monthly,data/futures/um/monthly/aggTrades/,PRESENT,1,974,0,data/futures/um/monthly/aggTrades/0GUSDT/,
um_liquidation_snapshot_monthly,data/futures/um/monthly/liquidationSnapshot/,EMPTY_OR_UNLISTED_AT_THE_PROBED_PATH,1,0,0,,
um_liquidation_snapshot_daily,data/futures/um/daily/liquidationSnapshot/,EMPTY_OR_UNLISTED_AT_THE_PROBED_PATH,1,0,0,,
