market,symbol,timeframe,first_timestamp,last_timestamp,row_count,source_grid,partial_bucket_rows,coverage_status
spot,BTCUSDT,15m,2024-01-01T00:00:00+00:00,2024-01-31T23:45:00+00:00,2976,15m,0,AVAILABLE
spot,BTCUSDT,1h,2024-01-01T00:00:00+00:00,2024-01-31T23:00:00+00:00,744,15m->1h,0,AVAILABLE
spot,BTCUSDT,4h,2024-01-01T00:00:00+00:00,2024-01-31T20:00:00+00:00,186,15m->4h,0,AVAILABLE
spot,ETHUSDT,15m,2024-01-01T00:00:00+00:00,2024-01-31T23:45:00+00:00,2976,15m,0,AVAILABLE
spot,ETHUSDT,1h,2024-01-01T00:00:00+00:00,2024-01-31T23:00:00+00:00,744,15m->1h,0,AVAILABLE
spot,ETHUSDT,4h,2024-01-01T00:00:00+00:00,2024-01-31T20:00:00+00:00,186,15m->4h,0,AVAILABLE
um,BTCUSDT,15m,2024-01-01T00:00:00+00:00,2024-01-31T23:45:00+00:00,2976,15m,0,AVAILABLE
um,BTCUSDT,1h,2024-01-01T00:00:00+00:00,2024-01-31T23:00:00+00:00,744,15m->1h,0,AVAILABLE
um,BTCUSDT,4h,2024-01-01T00:00:00+00:00,2024-01-31T20:00:00+00:00,186,15m->4h,0,AVAILABLE
um,ETHUSDT,15m,2024-01-01T00:00:00+00:00,2024-01-31T23:45:00+00:00,2976,15m,0,AVAILABLE
um,ETHUSDT,1h,2024-01-01T00:00:00+00:00,2024-01-31T23:00:00+00:00,744,15m->1h,0,AVAILABLE
um,ETHUSDT,4h,2024-01-01T00:00:00+00:00,2024-01-31T20:00:00+00:00,186,15m->4h,0,AVAILABLE
