feature_id,family,required_raw_sources,historical_availability,earliest_usable,latest_usable,markets,timeframes,causal_method,max_age,coverage_status,historical_campaign_eligible,forward_shadow_required,formula_implemented,notes
trend.ema_20_50_spread,trend,official klines archive,ARCHIVE_CAPABLE,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,AVAILABLE,true,false,true,missing history fail-closed
trend.ema_50_200_regime,trend,official klines archive,ARCHIVE_CAPABLE,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,AVAILABLE,true,false,true,missing history fail-closed
trend.ema_slope,trend,official klines archive,ARCHIVE_CAPABLE,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,AVAILABLE,true,false,true,missing history fail-closed
trend.adx_dmi,trend,official klines archive,ARCHIVE_CAPABLE,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,AVAILABLE,true,false,true,missing history fail-closed
trend.kaufman_er,trend,official klines archive,ARCHIVE_CAPABLE,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,AVAILABLE,true,false,true,missing history fail-closed
trend.donchian,trend,official klines archive,ARCHIVE_CAPABLE,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,AVAILABLE,true,false,true,missing history fail-closed
momentum.roc,momentum,official klines archive,ARCHIVE_CAPABLE,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,AVAILABLE,true,false,true,missing history fail-closed
momentum.rsi,momentum,official klines archive,ARCHIVE_CAPABLE,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,AVAILABLE,true,false,true,missing history fail-closed
volatility.atr_natr,volatility,official klines archive,ARCHIVE_CAPABLE,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,AVAILABLE,true,false,true,missing history fail-closed
volatility.bollinger_bandwidth,volatility,official klines archive,ARCHIVE_CAPABLE,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,AVAILABLE,true,false,true,missing history fail-closed
volatility.realized_percentile,volatility,official klines archive,ARCHIVE_CAPABLE,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,AVAILABLE,true,false,true,missing history fail-closed
volume.rvol,volume,official klines archive,ARCHIVE_CAPABLE,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,AVAILABLE,true,false,true,missing history fail-closed
volume.vwap_deviation,volume,official klines archive,ARCHIVE_CAPABLE,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,AVAILABLE,true,false,true,missing history fail-closed
orderflow.taker_ratio,order_flow,official klines taker-buy fields,ARCHIVE_CAPABLE,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,AVAILABLE,true,false,true,missing history fail-closed
orderflow.cvd,order_flow,official klines taker-buy fields,ARCHIVE_CAPABLE,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,AVAILABLE,true,false,true,missing history fail-closed
microstructure.spread,microstructure,historical depth unavailable,FORWARD_ONLY,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,HISTORICAL_UNAVAILABLE,false,true,true,missing history fail-closed
microstructure.top_book_imbalance,microstructure,historical depth unavailable,FORWARD_ONLY,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,HISTORICAL_UNAVAILABLE,false,true,true,missing history fail-closed
derivatives.oi_change,derivatives,openInterestHist latest retention only,SHORT_RETENTION,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,HISTORICAL_UNAVAILABLE,false,true,true,missing history fail-closed
derivatives.funding_zscore,derivatives,UM funding event archive,ARCHIVE_CAPABLE,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,AVAILABLE,true,false,true,missing history fail-closed
derivatives.premium_zscore,derivatives,UM premium-index archive,ARCHIVE_CAPABLE,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,AVAILABLE,true,false,true,missing history fail-closed
context.btc_regime,market_context,official BTC klines archive,ARCHIVE_CAPABLE,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,AVAILABLE,true,false,true,missing history fail-closed
context.market_breadth,market_context,lifecycle-aware universe required,PANEL_DEPENDENT,after_warmup,acquisition_cutoff,spot;um,15m;1h;4h,trailing_completed_bar_formula,bar-close,PARTIAL,false,true,true,missing history fail-closed
