trial_id,seed,blocks,preserve,samples,ci95_low,ci95_high
T0001,1729,calendar_month,all symbols together,1000,-0.0030549591956129064,-0.00283923511413121
T0002,1729,calendar_month,all symbols together,1000,-0.003342816907384266,-0.002602726562146788
T0003,1729,calendar_month,all symbols together,1000,-0.004196609696811731,-0.001703059749589203
T0004,1729,calendar_month,all symbols together,1000,-0.004513469695296106,0.0003457557697703047
T0005,1729,calendar_month,all symbols together,1000,-0.0030347625955810453,-0.002738388270399573
T0006,1729,calendar_month,all symbols together,1000,-0.0031184691202097684,-0.0022759790782900637
T0007,1729,calendar_month,all symbols together,1000,-0.003749771081144051,-0.001102659064343811
T0008,1729,calendar_month,all symbols together,1000,-0.004245238732260911,0.0009204253415725177
T0009,1729,calendar_month,all symbols together,1000,-0.003057145673545572,-0.0027916805459793524
T0010,1729,calendar_month,all symbols together,1000,-0.0031284951313246276,-0.0022890404360901883
T0011,1729,calendar_month,all symbols together,1000,-0.0032319818059886466,-0.000657151068885421
T0012,1729,calendar_month,all symbols together,1000,-0.0038082040238949545,0.0012218505901922768
T0013,1729,calendar_month,all symbols together,1000,-0.0030549591956129064,-0.00283923511413121
T0014,1729,calendar_month,all symbols together,1000,-0.003342816907384266,-0.002602726562146788
T0015,1729,calendar_month,all symbols together,1000,-0.004196609696811731,-0.001703059749589203
T0016,1729,calendar_month,all symbols together,1000,-0.004513469695296106,0.0003457557697703047
T0017,1729,calendar_month,all symbols together,1000,-0.0030347625955810453,-0.002738388270399573
T0018,1729,calendar_month,all symbols together,1000,-0.0031184691202097684,-0.0022759790782900637
T0019,1729,calendar_month,all symbols together,1000,-0.003749771081144051,-0.001102659064343811
T0020,1729,calendar_month,all symbols together,1000,-0.004245238732260911,0.0009204253415725177
T0021,1729,calendar_month,all symbols together,1000,-0.003057145673545572,-0.0027916805459793524
T0022,1729,calendar_month,all symbols together,1000,-0.0031284951313246276,-0.0022890404360901883
