trial_id,fold_id,cohort,cohort_universe_symbol_count,trades,aggregate_observations,mean_net_return,sharpe,hac_t
T0001,F01,top20,198,32391,11916,-0.002907067435759068,-0.2844415981079838,-21.13767940624378
T0001,F01,top50,407,80978,15217,-0.0029662287682356635,-0.2659450770571085,-22.119304110026338
T0001,F01,top100,551,80978,15217,-0.0029662287682356635,-0.2659450770571085,-22.119304110026338
T0001,F02,top20,198,32406,12466,-0.002722782479970142,-0.2368975845335168,-19.622949164518054
T0001,F02,top50,407,80395,15610,-0.00268091370262606,-0.225795161185357,-19.96140297566074
T0001,F02,top100,551,80395,15610,-0.00268091370262606,-0.225795161185357,-19.96140297566074
T0001,F03,top20,198,31897,11794,-0.002516175032192571,-0.14604201590456267,-11.42076471062688
T0001,F03,top50,407,79632,14423,-0.002715912079384676,-0.15340253748686608,-12.69982493472194
T0001,F03,top100,551,79632,14423,-0.002715912079384676,-0.15340253748686608,-12.69982493472194
T0001,F04,top20,198,31127,11922,-0.00283556355374468,-0.2209700066956364,-18.614815168554852
T0001,F04,top50,407,77833,14758,-0.0028868045134581273,-0.2078322250368734,-18.364707483465175
T0001,F04,top100,551,77833,14758,-0.0028868045134581273,-0.2078322250368734,-18.364707483465175
T0001,F05,top20,198,29848,11109,-0.003067415433179468,-0.23930588581973175,-17.182173979437867
T0001,F05,top50,407,74879,13744,-0.003315906910646218,-0.25271349978960783,-18.96778517076845
T0001,F05,top100,551,74879,13744,-0.003315906910646218,-0.25271349978960783,-18.96778517076845
T0001,F06,top20,198,31183,11773,-0.0031140840155758757,-0.3242400328406507,-23.835435220252624
T0001,F06,top50,407,76883,14899,-0.003157476275374493,-0.28938963040702215,-24.435572565165174
T0001,F06,top100,551,76883,14899,-0.003157476275374493,-0.28938963040702215,-24.435572565165174
T0001,F07,top20,198,30559,11745,-0.0029781136439771213,-0.29878189941303546,-22.724244590617467
T0001,F07,top50,407,76400,14843,-0.002998155520809798,-0.28972822042417207,-23.07643507235598
T0001,F07,top100,551,76400,14843,-0.002998155520809798,-0.28972822042417207,-23.07643507235598
T0001,F08,top20,198,31628,12678,-0.002937370219551992,-0.32542908709768215,-28.754236905018463
T0001,F08,top50,407,79009,15823,-0.002914242650324818,-0.32379550191068296,-29.274756893776154
T0001,F08,top100,551,79009,15823,-0.002914242650324818,-0.32379550191068296,-29.274756893776154
T0002,F01,top20,198,12514,6721,-0.0028853644406997793,-0.1477204238344457,-6.362586955577445
T0002,F01,top50,407,31275,11565,-0.002878104305594584,-0.1240975859353501,-6.896314072616301
T0002,F01,top100,551,31275,11565,-0.002878104305594584,-0.1240975859353501,-6.896314072616301
T0002,F02,top20,198,12551,7378,-0.002780967610386854,-0.1264485158415502,-6.0547720806322936
T0002,F02,top50,407,31182,11974,-0.0025391256152299353,-0.1036700162551704,-5.898484001726323
T0002,F02,top100,551,31182,11974,-0.0025391256152299353,-0.1036700162551704,-5.898484001726323
T0002,F03,top20,198,12388,6736,-0.002291466628344183,-0.06764599417292957,-3.0527169466232023
T0002,F03,top50,407,30995,10569,-0.002363772287411798,-0.06485339557745046,-3.40511647899497
T0002,F03,top100,551,30995,10569,-0.002363772287411798,-0.06485339557745046,-3.40511647899497
T0002,F04,top20,198,12174,6801,-0.0026442488648715044,-0.10525353412102309,-5.126271302494932
T0002,F04,top50,407,30437,10787,-0.002962342028944974,-0.11056685629986455,-6.078500347581817
T0002,F04,top100,551,30437,10787,-0.002962342028944974,-0.11056685629986455,-6.078500347581817
T0002,F05,top20,198,11581,6407,-0.0036218446256696068,-0.13722610574172833,-5.816863826562343
T0002,F05,top50,407,29138,9961,-0.004149733845215804,-0.1506204835577806,-7.036934568569009
T0002,F05,top100,551,29138,9961,-0.004149733845215804,-0.1506204835577806,-7.036934568569009
T0002,F06,top20,198,12141,6808,-0.0034328723768718397,-0.17396455529007598,-7.687377579478936
T0002,F06,top50,407,30007,10952,-0.0035156485841768025,-0.1545813806650513,-8.398722937856693
T0002,F06,top100,551,30007,10952,-0.0035156485841768025,-0.1545813806650513,-8.398722937856693
T0002,F07,top20,198,11920,6971,-0.002792345380378789,-0.1316822228004062,-6.164579136829286
T0002,F07,top50,407,29809,11084,-0.0029064094482077643,-0.1333521297066959,-6.891903792980657
T0002,F07,top100,551,29809,11084,-0.0029064094482077643,-0.1333521297066959,-6.891903792980657
T0002,F08,top20,198,12372,7727,-0.002569104047176622,-0.1349417097578003,-7.6339484715787185
T0002,F08,top50,407,30843,12258,-0.002662102553393975,-0.1444140158274751,-8.766371804931504
T0002,F08,top100,551,30843,12258,-0.002662102553393975,-0.1444140158274751,-8.766371804931504
T0003,F01,top20,198,5506,3361,-0.002972197616106435,-0.08393188009543688,-2.292818891724012
T0003,F01,top50,407,13736,6737,-0.0027853415100459467,-0.07060388651479456,-2.63556148804456
T0003,F01,top100,551,13736,6737,-0.0027853415100459467,-0.07060388651479456,-2.63556148804456
T0003,F02,top20,198,5498,3822,-0.0014586926055285576,-0.037532962361848776,-1.3043702095917533
T0003,F02,top50,407,13727,7235,-0.0017446992143092953,-0.041041659536073326,-1.7220861587611092
T0003,F02,top100,551,13727,7235,-0.0017446992143092953,-0.041041659536073326,-1.7220861587611092
T0003,F03,top20,198,5426,3406,-0.0003342656595512615,-0.005694105787025652,-0.18253506590707688
T0003,F03,top50,407,13539,6117,-0.00010441283532943688,-0.0015814279617903714,-0.0642583021270278
T0003,F03,top100,551,13539,6117,-0.00010441283532943688,-0.0015814279617903714,-0.0642583021270278
