trial_id,fold_id,feature_id,variant,market,timeframe,side,horizon_bars,valid_fold,trades,symbols_traded,aggregate_observations,aggregate_mean_net_return,aggregate_sum_net_return,mean_net_return,median_net_return,aggregate_hac_t,p_value,gross_return,net_return,funding_cashflow
T0001,F01,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,4,True,80978,69,15217,-0.0029662287682356635,-45.13710316624209,-0.002939984251402106,-0.0031239795993633886,-22.119304110026338,9.845511545328541e-107,-0.8509603262281278,-1.0,0.0
T0001,F02,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,4,True,80395,89,15610,-0.00268091370262606,-41.849062897992795,-0.002835531840471223,-0.0032409058058298053,-19.96140297566074,1.4726096071991006e-87,100.49968887156335,-1.0,0.0
T0001,F03,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,4,True,79632,96,14423,-0.002715912079384676,-39.17159992096518,-0.002834538836645631,-0.003540422676365504,-12.69982493472194,9.323346547470257e-37,-0.969627270711185,-1.0,0.0
T0001,F04,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,4,True,77833,100,14758,-0.0028868045134581273,-42.603461009615046,-0.003081628095659043,-0.0036329113924050667,-18.364707483465175,1.69942610903715e-74,-0.9999997085992615,-1.0,0.0
T0001,F05,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,4,True,74879,91,13744,-0.003315906910646218,-45.57382457992162,-0.0031881532120563646,-0.003508593996207507,-18.96778517076845,3.2275800897244843e-79,-0.9999999995305016,-1.0,0.0
T0001,F06,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,4,True,76883,92,14899,-0.003157476275374493,-47.04323902680457,-0.0031313629681020178,-0.003351626066122157,-24.435572565165174,2.4807828294044317e-129,-0.9999998743816921,-1.0,0.0
T0001,F07,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,4,True,76400,97,14843,-0.002998155520809798,-44.501622395379826,-0.0030000148970729078,-0.0034233501108004135,-23.07643507235598,8.631793169402942e-116,-0.9948156669417055,-1.0,0.0
T0001,F08,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,4,True,79009,108,15823,-0.002914242650324818,-46.11206145608959,-0.002974170129732125,-0.003167140230653451,-29.274756893776154,1.6363740161215735e-183,-0.9367511938765889,-1.0,0.0
T0002,F01,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,16,True,31275,69,11565,-0.002878104305594584,-33.28527629420137,-0.002795592770447057,-0.003405844155844104,-6.896314072616301,5.615027457274929e-12,-0.9379265840091886,-1.0,0.0
T0002,F02,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,16,True,31182,89,11974,-0.0025391256152299353,-30.403490116763244,-0.0026026225121987662,-0.0034003202562049558,-5.898484001726323,3.767686373759881e-09,1.2280286118763635,-1.0,0.0
T0002,F03,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,16,True,30995,96,10569,-0.002363772287411798,-24.982709305655295,-0.002441462197086948,-0.004279361342817698,-3.40511647899497,0.000663818338983089,-0.9982865517675166,-1.0,0.0
