trial_id,feature_id,variant,market,timeframe,side,horizon_bars,valid_fold_count,positive_fold_fraction,aggregate_observations,aggregate_mean_net_return,aggregate_sum_net_return,aggregate_hac_t,p_value,bootstrap_ci_low,bootstrap_ci_high,best_fold_aggregate_mean,worst_fold_aggregate_mean,max_top_symbol_share_abs,fdr_q_value,bonferroni_p,catastrophic_reversal,temporal_replication,horizon_decay_position,spot_um_consistency_note,um_long_short_mean_delta
T0001,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,4,8,0.0,119317,-0.002950057195982221,-351.9919744530107,-55.58266932535566,0.0,-0.0030549591956129064,-0.00283923511413121,-0.00268091370262606,-0.003315906910646218,0.02145175230345715,0.0,0.0,True,NO_REPLICATION,1,same_direction,
T0002,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,16,8,0.0,89150,-0.0029760161158988952,-265.3118367323865,-16.57600335210001,1.28557409835609e-61,-0.003342816907384266,-0.002602726562146788,-0.002363772287411798,-0.004149733845215804,0.020524008925061305,1.1171195613301195e-60,9.71894018357204e-59,True,NO_REPLICATION,2,same_direction,
T0003,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,48,8,0.0,52719,-0.0029359065068060956,-154.77805513231056,-6.4645388658400185,1.0249293021260002e-10,-0.004196609696811731,-0.001703059749589203,-0.00010441283532943688,-0.007248886409444626,0.018122367232050983,3.4591363946752505e-10,7.748465524072561e-08,True,NO_REPLICATION,3,same_direction,
T0004,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,96,8,0.25,35230,-0.0021101649575612303,-74.34111145488214,-2.497992226609906,0.012494415420040353,-0.004513469695296106,0.0003457557697703047,0.0030431330666943353,-0.011693293127304836,0.021619154205288694,0.019761041961402735,1.0,True,NO_REPLICATION,4,same_direction,
T0005,trend.ema_20_50_spread,ema_20_50,spot,15m,LONG,4,8,0.0,118127,-0.002896133174065265,-342.1115234528076,-53.62912365942971,0.0,-0.0030347625955810453,-0.002738388270399573,-0.00232126686070062,-0.003485657895102505,0.02196851615899122,0.0,0.0,True,NO_REPLICATION,1,same_direction,
T0006,trend.ema_20_50_spread,ema_20_50,spot,15m,LONG,16,8,0.0,89552,-0.0027165031332299205,-243.26828858700586,-15.215142795004462,3.2622872841163755e-52,-0.0031184691202097684,-0.0022759790782900637,-0.0012296322900843116,-0.004098823292350714,0.024348124034358178,2.623711900842532e-51,2.46628918679198e-49,True,NO_REPLICATION,2,same_direction,
T0007,trend.ema_20_50_spread,ema_20_50,spot,15m,LONG,48,8,0.125,52396,-0.0024557371880071714,-128.67080570282374,-5.321345455330568,1.0342483818226936e-07,-0.003749771081144051,-0.001102659064343811,0.0015060191623108457,-0.007878414278966683,0.02416869413309753,2.8852095079629387e-07,7.818917766579564e-05,True,NO_REPLICATION,3,same_direction,
T0008,trend.ema_20_50_spread,ema_20_50,spot,15m,LONG,96,8,0.375,34007,-0.0017451223514165647,-59.346375804623115,-2.063538291388301,0.03906908418865682,-0.004245238732260911,0.0009204253415725177,0.004680742166974135,-0.01116099282807107,0.048981221396249615,0.055939825088304085,1.0,True,NO_REPLICATION,4,same_direction,
T0009,trend.ema_20_50_spread,ema_50_200,spot,15m,LONG,4,8,0.0,113102,-0.0029259198196414215,-330.92738344108403,-54.50087167776838,0.0,-0.003057145673545572,-0.0027916805459793524,-0.0026186664512946865,-0.003255708993425109,0.022347512460691544,0.0,0.0,True,NO_REPLICATION,1,same_direction,
T0010,trend.ema_20_50_spread,ema_50_200,spot,15m,LONG,16,8,0.0,84701,-0.002704564940893506,-229.07935505862085,-14.7757734639316,2.4189913462290554e-49,-0.0031284951313246276,-0.0022890404360901883,-0.001952750235147233,-0.0041099774280273504,0.02226960899229142,1.866079038519557e-48,1.8287574577491658e-46,True,NO_REPLICATION,2,same_direction,
T0011,trend.ema_20_50_spread,ema_50_200,spot,15m,LONG,48,8,0.125,49193,-0.0019107728625178996,-93.99664942584303,-4.073271411122529,4.642990430558679e-05,-0.0032319818059886466,-0.000657151068885421,0.0004607445008918685,-0.005605340708776062,0.022520683040361325,0.00010604534034750337,0.035101007655023615,True,NO_REPLICATION,3,same_direction,
T0012,trend.ema_20_50_spread,ema_50_200,spot,15m,LONG,96,8,0.5,30586,-0.001253162506992,-38.329228438857314,-1.4356901846347316,0.15110074617128302,-0.0038082040238949545,0.0012218505901922768,0.004110505259577341,-0.0077588009760305035,0.04250179851859928,0.19901073885973863,1.0,False,NO_REPLICATION,4,same_direction,
T0013,trend.ema_50_200_regime,ema_10_30,spot,15m,LONG,4,8,0.0,119317,-0.002950057195982221,-351.9919744530107,-55.58266932535566,0.0,-0.0030549591956129064,-0.00283923511413121,-0.00268091370262606,-0.003315906910646218,0.02145175230345715,0.0,0.0,True,NO_REPLICATION,1,same_direction,
T0014,trend.ema_50_200_regime,ema_10_30,spot,15m,LONG,16,8,0.0,89150,-0.0029760161158988952,-265.3118367323865,-16.57600335210001,1.28557409835609e-61,-0.003342816907384266,-0.002602726562146788,-0.002363772287411798,-0.004149733845215804,0.020524008925061305,1.1171195613301195e-60,9.71894018357204e-59,True,NO_REPLICATION,2,same_direction,
T0015,trend.ema_50_200_regime,ema_10_30,spot,15m,LONG,48,8,0.0,52719,-0.0029359065068060956,-154.77805513231056,-6.4645388658400185,1.0249293021260002e-10,-0.004196609696811731,-0.001703059749589203,-0.00010441283532943688,-0.007248886409444626,0.018122367232050983,3.4591363946752505e-10,7.748465524072561e-08,True,NO_REPLICATION,3,same_direction,
T0016,trend.ema_50_200_regime,ema_10_30,spot,15m,LONG,96,8,0.25,35230,-0.0021101649575612303,-74.34111145488214,-2.497992226609906,0.012494415420040353,-0.004513469695296106,0.0003457557697703047,0.0030431330666943353,-0.011693293127304836,0.021619154205288694,0.019761041961402735,1.0,True,NO_REPLICATION,4,same_direction,
T0017,trend.ema_50_200_regime,ema_20_50,spot,15m,LONG,4,8,0.0,118127,-0.002896133174065265,-342.1115234528076,-53.62912365942971,0.0,-0.0030347625955810453,-0.002738388270399573,-0.00232126686070062,-0.003485657895102505,0.02196851615899122,0.0,0.0,True,NO_REPLICATION,1,same_direction,
T0018,trend.ema_50_200_regime,ema_20_50,spot,15m,LONG,16,8,0.0,89552,-0.0027165031332299205,-243.26828858700586,-15.215142795004462,3.2622872841163755e-52,-0.0031184691202097684,-0.0022759790782900637,-0.0012296322900843116,-0.004098823292350714,0.024348124034358178,2.623711900842532e-51,2.46628918679198e-49,True,NO_REPLICATION,2,same_direction,
T0019,trend.ema_50_200_regime,ema_20_50,spot,15m,LONG,48,8,0.125,52396,-0.0024557371880071714,-128.67080570282374,-5.321345455330568,1.0342483818226936e-07,-0.003749771081144051,-0.001102659064343811,0.0015060191623108457,-0.007878414278966683,0.02416869413309753,2.8852095079629387e-07,7.818917766579564e-05,True,NO_REPLICATION,3,same_direction,
T0020,trend.ema_50_200_regime,ema_20_50,spot,15m,LONG,96,8,0.375,34007,-0.0017451223514165647,-59.346375804623115,-2.063538291388301,0.03906908418865682,-0.004245238732260911,0.0009204253415725177,0.004680742166974135,-0.01116099282807107,0.048981221396249615,0.055939825088304085,1.0,True,NO_REPLICATION,4,same_direction,
T0021,trend.ema_50_200_regime,ema_50_200,spot,15m,LONG,4,8,0.0,113102,-0.0029259198196414215,-330.92738344108403,-54.50087167776838,0.0,-0.003057145673545572,-0.0027916805459793524,-0.0026186664512946865,-0.003255708993425109,0.022347512460691544,0.0,0.0,True,NO_REPLICATION,1,same_direction,
T0022,trend.ema_50_200_regime,ema_50_200,spot,15m,LONG,16,8,0.0,84701,-0.002704564940893506,-229.07935505862085,-14.7757734639316,2.4189913462290554e-49,-0.0031284951313246276,-0.0022890404360901883,-0.001952750235147233,-0.0041099774280273504,0.02226960899229142,1.866079038519557e-48,1.8287574577491658e-46,True,NO_REPLICATION,2,same_direction,
T0023,trend.ema_50_200_regime,ema_50_200,spot,15m,LONG,48,8,0.125,49193,-0.0019107728625178996,-93.99664942584303,-4.073271411122529,4.642990430558679e-05,-0.0032319818059886466,-0.000657151068885421,0.0004607445008918685,-0.005605340708776062,0.022520683040361325,0.00010604534034750337,0.035101007655023615,True,NO_REPLICATION,3,same_direction,
T0024,trend.ema_50_200_regime,ema_50_200,spot,15m,LONG,96,8,0.5,30586,-0.001253162506992,-38.329228438857314,-1.4356901846347316,0.15110074617128302,-0.0038082040238949545,0.0012218505901922768,0.004110505259577341,-0.0077588009760305035,0.04250179851859928,0.19901073885973863,1.0,False,NO_REPLICATION,4,same_direction,
T0025,trend.ema_slope,default,spot,15m,LONG,4,8,0.0,119735,-0.0030986104093709502,-371.01211736603074,-57.174878323953756,0.0,-0.003223596131074962,-0.0029668506931670737,-0.002902088598933421,-0.003497178634508467,0.021576870804010446,0.0,0.0,True,NO_REPLICATION,1,same_direction,
T0026,trend.ema_slope,default,spot,15m,LONG,16,8,0.0,87595,-0.0030297379048348926,-265.3898917740124,-16.67214738854813,2.6079319540985068e-62,-0.0034649761480048846,-0.0026320348507700886,-0.002185779939549766,-0.00449693175797482,0.022503320681347708,2.319525361527613e-61,1.9715965572984712e-59,True,NO_REPLICATION,2,same_direction,
T0027,trend.ema_slope,default,spot,15m,LONG,48,8,0.0,52913,-0.002966055238308241,-156.94288082460398,-6.394548325814248,1.6236112889298306e-10,-0.004134025204286845,-0.0018430631086232168,-0.0002934101403721375,-0.0066409068446905304,0.02195109267746121,5.360044255156995e-10,1.227450134430952e-07,True,NO_REPLICATION,3,same_direction,
T0028,trend.ema_slope,default,spot,15m,LONG,96,8,0.25,35562,-0.002380428591519008,-84.65280157159896,-2.8820649337409936,0.003953147703182811,-0.004688955873627536,-1.6986100333641287e-05,0.003588229593986681,-0.011145149118647947,0.02617110206387829,0.006838855065460424,1.0,True,NO_REPLICATION,4,same_direction,
T0029,trend.adx_dmi,adx14_threshold20,spot,15m,LONG,4,8,0.0,110257,-0.00318353242944235,-351.0067350730252,-54.221248381136824,0.0,-0.00329551996939954,-0.0030677770780942097,-0.0029588038967112637,-0.003541301391909829,0.01986880602407217,0.0,0.0,True,NO_REPLICATION,1,same_direction,
T0030,trend.adx_dmi,adx14_threshold20,spot,15m,LONG,16,8,0.0,78954,-0.003343415216942464,-263.9760050384753,-17.523920284879004,1.270076584162912e-68,-0.0037438630053469634,-0.002978972817494068,-0.0023115575846645335,-0.004791709464524222,0.02078199491461446,1.2469842826326773e-67,9.601778976271615e-66,True,NO_REPLICATION,2,same_direction,
T0031,trend.adx_dmi,adx14_threshold20,spot,15m,LONG,48,8,0.0,50095,-0.0030567024269670126,-153.1255080789125,-6.461362130440205,1.0471388036332824e-10,-0.004200930772914504,-0.0018674269385399614,-0.0002900053930454429,-0.007426184078576902,0.01975712177721772,3.5183863802078286e-10,7.916369355467614e-08,True,NO_REPLICATION,3,same_direction,
T0032,trend.adx_dmi,adx14_threshold20,spot,15m,LONG,96,8,0.375,34329,-0.001961805046888168,-67.34680545462392,-2.2739765382467056,0.02297354226056798,-0.004273599577440985,0.0004548573177970547,0.003972686888802753,-0.01019638999139167,0.024069063910297825,0.03452882296021748,1.0,True,NO_REPLICATION,4,same_direction,
T0033,trend.kaufman_er,er10_threshold0.3,spot,15m,LONG,4,8,0.0,106218,-0.0032452373722932385,-344.7026232102432,-56.78340890644341,0.0,-0.0033665309881402436,-0.0031272975255724517,-0.002928259944502203,-0.003621441810846344,0.02104709238783782,0.0,0.0,True,NO_REPLICATION,1,same_direction,
T0034,trend.kaufman_er,er10_threshold0.3,spot,15m,LONG,16,8,0.0,81923,-0.0033783228414983883,-276.7623421440725,-18.21045773807234,5.9705893262472396e-74,-0.0037797451080633553,-0.0030059764087064715,-0.002978224277027346,-0.004364753122934315,0.021395974553737384,6.018354040857218e-73,4.513765530642913e-71,True,NO_REPLICATION,2,same_direction,
T0035,trend.kaufman_er,er10_threshold0.3,spot,15m,LONG,48,8,0.0,54718,-0.00320021739593107,-175.10949547055628,-6.735563894979174,1.6490508671187663e-11,-0.004389829511656478,-0.00202804149384193,-0.000990048470740598,-0.0077928380281163095,0.019868827860788488,5.7716780349156825e-11,1.2466824555417874e-08,True,NO_REPLICATION,3,same_direction,
T0036,trend.kaufman_er,er10_threshold0.3,spot,15m,LONG,96,8,0.125,37274,-0.0021275336014134516,-79.301687459085,-2.567634339556787,0.010243372853933102,-0.004473002590189179,0.00037472671768458903,0.004962010853513732,-0.011433128820874572,0.026603259745665176,0.016698396301017306,1.0,True,NO_REPLICATION,4,same_direction,
T0037,trend.donchian,donchian_20,spot,15m,LONG,4,8,0.0,62513,-0.0033803274845989805,-211.31441204473606,-43.13748635096784,0.0,-0.0036187384116246287,-0.0031517488657099085,-0.002754192920396847,-0.0041035524931875705,0.02275109081418728,0.0,0.0,True,NO_REPLICATION,1,same_direction,
T0038,trend.donchian,donchian_20,spot,15m,LONG,16,8,0.0,51578,-0.003958992202056967,-204.19689979769424,-18.558796580778143,1.23143506541498e-76,-0.0044597199946172965,-0.0034889492004144544,-0.003247833130139359,-0.005318423487689621,0.022304921781466747,1.2580606884509796e-75,9.30964909453725e-74,True,NO_REPLICATION,2,same_direction,
T0039,trend.donchian,donchian_20,spot,15m,LONG,48,8,0.0,37456,-0.004368642141040887,-163.63186003482747,-8.62661349706718,6.563652502386413e-18,-0.005767088317674223,-0.003033692264237878,-0.0012985690452780644,-0.009397780014490702,0.018343701514864526,2.5979692627246745e-17,4.962121291804128e-15,True,NO_REPLICATION,3,same_direction,
T0040,trend.donchian,donchian_20,spot,15m,LONG,96,8,0.125,27164,-0.0028654454130149333,-77.83695919913765,-3.061031725108801,0.0022079100461416677,-0.0055401466745376516,-7.110528194508325e-05,0.0028859764341567307,-0.013036872114470273,0.022441111973602663,0.00403183573643261,1.0,True,NO_REPLICATION,4,same_direction,
T0041,trend.donchian,donchian_48,spot,15m,LONG,4,8,0.0,45794,-0.00328571195443069,-150.465893241199,-33.26890092559313,7.950898056132046e-240,-0.0035556117992794145,-0.003015282499792677,-0.0026521124414027905,-0.004237419417075829,0.024196221230184913,1.1131257278584864e-238,6.010878930435827e-237,True,NO_REPLICATION,1,same_direction,
T0042,trend.donchian,donchian_48,spot,15m,LONG,16,8,0.0,37790,-0.0037867414686501583,-143.10096010028948,-15.791299034575554,5.397011893727303e-56,-0.004297277015383774,-0.00324711182811995,-0.002663052354529912,-0.005699323568788457,0.02379612588757983,4.636523854156638e-55,4.0801409916578413e-53,True,NO_REPLICATION,2,same_direction,
T0043,trend.donchian,donchian_48,spot,15m,LONG,48,8,0.125,29239,-0.0036937490632190173,-108.00152885946085,-6.8567033646024615,7.186795571137247e-12,-0.004997994081036925,-0.002351868707693579,0.00012460247275945387,-0.010382047117862576,0.027900282516895,2.527077884548725e-11,5.433217451779759e-09,True,NO_REPLICATION,3,same_direction,
T0044,trend.donchian,donchian_48,spot,15m,LONG,96,8,0.25,22258,-0.00242427153969693,-53.959435930574266,-2.5373126378239896,0.011177480153996798,-0.005260736545159322,0.0004133252387946024,0.0038403095029258313,-0.013702581012844713,0.05873344333135407,0.0179641478343652,1.0,True,NO_REPLICATION,4,same_direction,
T0045,trend.donchian,donchian_55,spot,15m,LONG,4,8,0.0,43424,-0.00330323781569472,-143.43979890872754,-32.39866440520297,1.4922001178200528e-227,-0.0035626645325677574,-0.0030500486922707243,-0.0026243056363370364,-0.004228471737374975,0.02465545161784308,2.0144701590570714e-226,1.12810328907196e-224,True,NO_REPLICATION,1,same_direction,
T0046,trend.donchian,donchian_55,spot,15m,LONG,16,8,0.0,35752,-0.003764306353336896,-134.5814807445007,-15.261753008511867,2.012663797455017e-52,-0.004314155081057433,-0.0032206310379380883,-0.002317362747289404,-0.00574547536832496,0.02744919775538797,1.6720591548087834e-51,1.521573830875993e-49,True,NO_REPLICATION,2,same_direction,
T0047,trend.donchian,donchian_55,spot,15m,LONG,48,8,0.125,27802,-0.003637974427501577,-101.14296503339885,-6.709047220313022,1.996570521265602e-11,-0.004967304386263843,-0.0022428530709978755,0.0001900339207472383,-0.010103554753726053,0.033213944803646755,6.923886761820161e-11,1.5094073140767952e-08,True,NO_REPLICATION,3,same_direction,
T0048,trend.donchian,donchian_55,spot,15m,LONG,96,8,0.25,21449,-0.0026549442797863657,-56.94589985713776,-2.779357542405161,0.0054513946721561094,-0.005631185953386407,0.00034610554493472195,0.00372964548055221,-0.014444617097101922,0.06250465981615581,0.00928210444177932,1.0,True,NO_REPLICATION,4,same_direction,
T0049,momentum.roc,roc_6,spot,15m,LONG,4,8,0.0,118758,-0.003143263251766767,-373.2876572533177,-57.68950524306963,0.0,-0.003248237158012427,-0.003038801158065707,-0.002918345045621056,-0.003514238979567796,0.02149047410385206,0.0,0.0,True,NO_REPLICATION,1,same_direction,
