trial_id,mfe,mae,time_to_mfe,time_to_mae,reason
T0001,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0002,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0003,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0004,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0005,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0006,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0007,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0008,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0009,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0010,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0011,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0012,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0013,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0014,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0015,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0016,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0017,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0018,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0019,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0020,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0021,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0022,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0023,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0024,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0025,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0026,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0027,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0028,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0029,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0030,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0031,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0032,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0033,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0034,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0035,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0036,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0037,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0038,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0039,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0040,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0041,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0042,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0043,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0044,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0045,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0046,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0047,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0048,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0049,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0050,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0051,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0052,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0053,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
T0054,,,,,checkpoint schema has no intratrade path; diagnostic only; not silently inferred
