trial_id,fold_id,scope,symbols_traded,top_symbol,top_symbol_share_abs
T0001,F01,fold_diagnostic,69,ALGOUSDT,0.023401469264146327
T0001,F02,fold_diagnostic,89,XTZUSDT,0.025285259497226858
T0001,F03,fold_diagnostic,96,ONTUSDT,0.025306131522499036
T0001,F04,fold_diagnostic,100,ICPUSDT,0.024218265627983137
T0001,F05,fold_diagnostic,91,ADAUSDT,0.023712440150485768
T0001,F06,fold_diagnostic,92,WAVESUSDT,0.023122210660407802
T0001,F07,fold_diagnostic,97,DOTUSDT,0.023370208049249455
T0001,F08,fold_diagnostic,108,SUIUSDT,0.022036203184446282
T0002,F01,fold_diagnostic,69,ALGOUSDT,0.026369544285702953
T0002,F02,fold_diagnostic,89,XTZUSDT,0.033657662163167026
T0002,F03,fold_diagnostic,96,THETAUSDT,0.03407853312018791
T0002,F04,fold_diagnostic,100,ICPUSDT,0.032066133837356584
T0002,F05,fold_diagnostic,91,ALGOUSDT,0.027325064962191184
T0002,F06,fold_diagnostic,92,WAVESUSDT,0.026751416189922935
T0002,F07,fold_diagnostic,97,DOGEUSDT,0.027920695939325463
T0002,F08,fold_diagnostic,108,APEUSDT,0.025281724883438016
T0003,F01,fold_diagnostic,69,XTZUSDT,0.042262659756301384
T0003,F02,fold_diagnostic,89,SNXUSDT,0.038812062102946285
T0003,F03,fold_diagnostic,96,DOGEUSDT,0.09064929527123826
T0003,F04,fold_diagnostic,100,LUNAUSDT,0.045895830269327295
T0003,F05,fold_diagnostic,91,ALGOUSDT,0.029051143942963303
T0003,F06,fold_diagnostic,92,SOLUSDT,0.029451597419667234
T0003,F07,fold_diagnostic,97,ACHUSDT,0.03553330064551056
T0003,F08,fold_diagnostic,108,TRBUSDT,0.054463353222683385
T0004,F01,fold_diagnostic,69,BANDUSDT,0.044243469552812935
T0004,F02,fold_diagnostic,89,BANDUSDT,0.05840295450872448
T0004,F03,fold_diagnostic,96,DOGEUSDT,0.1197636128258634
T0004,F04,fold_diagnostic,100,SHIBUSDT,0.05683006751240643
T0004,F05,fold_diagnostic,91,ONEUSDT,0.027435602969413272
T0004,F06,fold_diagnostic,92,GALAUSDT,0.03550950398491628
T0004,F07,fold_diagnostic,97,APTUSDT,0.03588177873306847
T0004,F08,fold_diagnostic,108,TRBUSDT,0.04197475461779929
T0005,F01,fold_diagnostic,69,BTTUSDT,0.022524572385397765
T0005,F02,fold_diagnostic,89,XTZUSDT,0.024342301533654152
T0005,F03,fold_diagnostic,96,LTCUSDT,0.025495077864797645
T0005,F04,fold_diagnostic,100,LTCUSDT,0.02477680865060743
T0005,F05,fold_diagnostic,91,EOSUSDT,0.021913745458272845
T0005,F06,fold_diagnostic,92,TRXUSDT,0.022957482695819112
T0005,F07,fold_diagnostic,97,BNBUSDT,0.02227184029516019
T0005,F08,fold_diagnostic,108,TRXUSDT,0.022423708305857142
T0006,F01,fold_diagnostic,69,ATOMUSDT,0.030859655611252253
T0006,F02,fold_diagnostic,89,ONTUSDT,0.029043479553353763
T0006,F03,fold_diagnostic,96,DOGEUSDT,0.07440386066747563
T0006,F04,fold_diagnostic,100,EOSUSDT,0.03279255998578242
T0006,F05,fold_diagnostic,91,AXSUSDT,0.02636971395290951
T0006,F06,fold_diagnostic,92,GMTUSDT,0.026392319962857274
T0006,F07,fold_diagnostic,97,DOGEUSDT,0.03168855226468197
T0006,F08,fold_diagnostic,108,APEUSDT,0.024886252325208864
T0007,F01,fold_diagnostic,69,RVNUSDT,0.0492180685719836
