trial_id,feature_id,variant,market,timeframe,side,horizon_bars,valid_fold_count,positive_fold_fraction,aggregate_hac_t,fdr_q_value,max_top_symbol_share_abs,catastrophic_reversal,temporal_replication
T0001,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,4,8,0.0,-55.58266932535566,0.0,0.02145175230345715,True,NO_REPLICATION
T0002,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,16,8,0.0,-16.57600335210001,1.1171195613301195e-60,0.020524008925061305,True,NO_REPLICATION
T0003,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,48,8,0.0,-6.4645388658400185,3.4591363946752505e-10,0.018122367232050983,True,NO_REPLICATION
T0004,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,96,8,0.25,-2.497992226609906,0.019761041961402735,0.021619154205288694,True,NO_REPLICATION
T0005,trend.ema_20_50_spread,ema_20_50,spot,15m,LONG,4,8,0.0,-53.62912365942971,0.0,0.02196851615899122,True,NO_REPLICATION
T0006,trend.ema_20_50_spread,ema_20_50,spot,15m,LONG,16,8,0.0,-15.215142795004462,2.623711900842532e-51,0.024348124034358178,True,NO_REPLICATION
T0007,trend.ema_20_50_spread,ema_20_50,spot,15m,LONG,48,8,0.125,-5.321345455330568,2.8852095079629387e-07,0.02416869413309753,True,NO_REPLICATION
T0008,trend.ema_20_50_spread,ema_20_50,spot,15m,LONG,96,8,0.375,-2.063538291388301,0.055939825088304085,0.048981221396249615,True,NO_REPLICATION
T0009,trend.ema_20_50_spread,ema_50_200,spot,15m,LONG,4,8,0.0,-54.50087167776838,0.0,0.022347512460691544,True,NO_REPLICATION
T0010,trend.ema_20_50_spread,ema_50_200,spot,15m,LONG,16,8,0.0,-14.7757734639316,1.866079038519557e-48,0.02226960899229142,True,NO_REPLICATION
T0011,trend.ema_20_50_spread,ema_50_200,spot,15m,LONG,48,8,0.125,-4.073271411122529,0.00010604534034750337,0.022520683040361325,True,NO_REPLICATION
T0012,trend.ema_20_50_spread,ema_50_200,spot,15m,LONG,96,8,0.5,-1.4356901846347316,0.19901073885973863,0.04250179851859928,False,NO_REPLICATION
T0013,trend.ema_50_200_regime,ema_10_30,spot,15m,LONG,4,8,0.0,-55.58266932535566,0.0,0.02145175230345715,True,NO_REPLICATION
T0014,trend.ema_50_200_regime,ema_10_30,spot,15m,LONG,16,8,0.0,-16.57600335210001,1.1171195613301195e-60,0.020524008925061305,True,NO_REPLICATION
T0015,trend.ema_50_200_regime,ema_10_30,spot,15m,LONG,48,8,0.0,-6.4645388658400185,3.4591363946752505e-10,0.018122367232050983,True,NO_REPLICATION
T0016,trend.ema_50_200_regime,ema_10_30,spot,15m,LONG,96,8,0.25,-2.497992226609906,0.019761041961402735,0.021619154205288694,True,NO_REPLICATION
T0017,trend.ema_50_200_regime,ema_20_50,spot,15m,LONG,4,8,0.0,-53.62912365942971,0.0,0.02196851615899122,True,NO_REPLICATION
T0018,trend.ema_50_200_regime,ema_20_50,spot,15m,LONG,16,8,0.0,-15.215142795004462,2.623711900842532e-51,0.024348124034358178,True,NO_REPLICATION
T0019,trend.ema_50_200_regime,ema_20_50,spot,15m,LONG,48,8,0.125,-5.321345455330568,2.8852095079629387e-07,0.02416869413309753,True,NO_REPLICATION
T0020,trend.ema_50_200_regime,ema_20_50,spot,15m,LONG,96,8,0.375,-2.063538291388301,0.055939825088304085,0.048981221396249615,True,NO_REPLICATION
T0021,trend.ema_50_200_regime,ema_50_200,spot,15m,LONG,4,8,0.0,-54.50087167776838,0.0,0.022347512460691544,True,NO_REPLICATION
T0022,trend.ema_50_200_regime,ema_50_200,spot,15m,LONG,16,8,0.0,-14.7757734639316,1.866079038519557e-48,0.02226960899229142,True,NO_REPLICATION
T0023,trend.ema_50_200_regime,ema_50_200,spot,15m,LONG,48,8,0.125,-4.073271411122529,0.00010604534034750337,0.022520683040361325,True,NO_REPLICATION
T0024,trend.ema_50_200_regime,ema_50_200,spot,15m,LONG,96,8,0.5,-1.4356901846347316,0.19901073885973863,0.04250179851859928,False,NO_REPLICATION
T0025,trend.ema_slope,default,spot,15m,LONG,4,8,0.0,-57.174878323953756,0.0,0.021576870804010446,True,NO_REPLICATION
T0026,trend.ema_slope,default,spot,15m,LONG,16,8,0.0,-16.67214738854813,2.319525361527613e-61,0.022503320681347708,True,NO_REPLICATION
T0027,trend.ema_slope,default,spot,15m,LONG,48,8,0.0,-6.394548325814248,5.360044255156995e-10,0.02195109267746121,True,NO_REPLICATION
T0028,trend.ema_slope,default,spot,15m,LONG,96,8,0.25,-2.8820649337409936,0.006838855065460424,0.02617110206387829,True,NO_REPLICATION
T0029,trend.adx_dmi,adx14_threshold20,spot,15m,LONG,4,8,0.0,-54.221248381136824,0.0,0.01986880602407217,True,NO_REPLICATION
T0030,trend.adx_dmi,adx14_threshold20,spot,15m,LONG,16,8,0.0,-17.523920284879004,1.2469842826326773e-67,0.02078199491461446,True,NO_REPLICATION
T0031,trend.adx_dmi,adx14_threshold20,spot,15m,LONG,48,8,0.0,-6.461362130440205,3.5183863802078286e-10,0.01975712177721772,True,NO_REPLICATION
T0032,trend.adx_dmi,adx14_threshold20,spot,15m,LONG,96,8,0.375,-2.2739765382467056,0.03452882296021748,0.024069063910297825,True,NO_REPLICATION
T0033,trend.kaufman_er,er10_threshold0.3,spot,15m,LONG,4,8,0.0,-56.78340890644341,0.0,0.02104709238783782,True,NO_REPLICATION
T0034,trend.kaufman_er,er10_threshold0.3,spot,15m,LONG,16,8,0.0,-18.21045773807234,6.018354040857218e-73,0.021395974553737384,True,NO_REPLICATION
T0035,trend.kaufman_er,er10_threshold0.3,spot,15m,LONG,48,8,0.0,-6.735563894979174,5.7716780349156825e-11,0.019868827860788488,True,NO_REPLICATION
T0036,trend.kaufman_er,er10_threshold0.3,spot,15m,LONG,96,8,0.125,-2.567634339556787,0.016698396301017306,0.026603259745665176,True,NO_REPLICATION
T0037,trend.donchian,donchian_20,spot,15m,LONG,4,8,0.0,-43.13748635096784,0.0,0.02275109081418728,True,NO_REPLICATION
T0038,trend.donchian,donchian_20,spot,15m,LONG,16,8,0.0,-18.558796580778143,1.2580606884509796e-75,0.022304921781466747,True,NO_REPLICATION
T0039,trend.donchian,donchian_20,spot,15m,LONG,48,8,0.0,-8.62661349706718,2.5979692627246745e-17,0.018343701514864526,True,NO_REPLICATION
T0040,trend.donchian,donchian_20,spot,15m,LONG,96,8,0.125,-3.061031725108801,0.00403183573643261,0.022441111973602663,True,NO_REPLICATION
T0041,trend.donchian,donchian_48,spot,15m,LONG,4,8,0.0,-33.26890092559313,1.1131257278584864e-238,0.024196221230184913,True,NO_REPLICATION
T0042,trend.donchian,donchian_48,spot,15m,LONG,16,8,0.0,-15.791299034575554,4.636523854156638e-55,0.02379612588757983,True,NO_REPLICATION
