trial_id,fold_id,year,aggregate_observations,mean_net_return,hac_t
T0001,F01,2020,15217,-0.0029662287682356635,-22.119304110026338
T0001,F02,2020,15610,-0.00268091370262606,-19.96140297566074
T0001,F03,2021,14423,-0.002715912079384676,-12.69982493472194
T0001,F04,2021,14758,-0.0028868045134581273,-18.364707483465175
T0001,F05,2022,13744,-0.003315906910646218,-18.96778517076845
T0001,F06,2022,14899,-0.003157476275374493,-24.435572565165174
T0001,F07,2023,14843,-0.002998155520809798,-23.07643507235598
T0001,F08,2023,15823,-0.002914242650324818,-29.274756893776154
T0002,F01,2020,11565,-0.002878104305594584,-6.896314072616301
T0002,F02,2020,11974,-0.0025391256152299353,-5.898484001726323
T0002,F03,2021,10569,-0.002363772287411798,-3.40511647899497
T0002,F04,2021,10787,-0.002962342028944974,-6.078500347581817
T0002,F05,2022,9961,-0.004149733845215804,-7.036934568569009
T0002,F06,2022,10952,-0.0035156485841768025,-8.398722937856693
T0002,F07,2023,11084,-0.0029064094482077643,-6.891903792980657
T0002,F08,2023,12258,-0.002662102553393975,-8.766371804931504
T0003,F01,2020,6737,-0.0027853415100459467,-2.63556148804456
T0003,F02,2020,7235,-0.0017446992143092953,-1.7220861587611092
T0003,F03,2021,6117,-0.00010441283532943688,-0.0642583021270278
T0003,F04,2021,6172,-0.0030815334432276503,-2.6415528434902042
T0003,F05,2022,5724,-0.007248886409444626,-5.247202856998635
T0003,F06,2022,6489,-0.005404831310267705,-5.5256577701091985
T0003,F07,2023,6905,-0.0018978046980945983,-1.8724037727868035
T0003,F08,2023,7340,-0.0019160047980872846,-2.7151966312994835
T0004,F01,2020,4574,-0.00044300792170907634,-0.21720406832048703
T0004,F02,2020,4757,0.0008564081102172737,0.4609323154068782
T0004,F03,2021,4089,0.0030431330666943353,0.9436712785866866
T0004,F04,2021,4062,-0.00026605706605543216,-0.12593849709653962
T0004,F05,2022,3901,-0.011693293127304836,-4.50804624681929
T0004,F06,2022,4363,-0.006024889983167522,-3.5108456785163975
T0004,F07,2023,4516,-0.0022695132587680846,-1.2586547659836103
T0004,F08,2023,4968,-0.0011272384351674008,-0.9519560651064487
T0005,F01,2020,14941,-0.0029596556967505707,-22.18737909118258
T0005,F02,2020,15472,-0.0026697187535453153,-19.07710424468985
T0005,F03,2021,14381,-0.00232126686070062,-10.561171464769735
T0005,F04,2021,14715,-0.002799457456288392,-17.730638068778703
T0005,F05,2022,13528,-0.003485657895102505,-19.868342396790574
T0005,F06,2022,14665,-0.0031584820090366918,-23.590142952321028
T0005,F07,2023,14655,-0.002953120215215871,-22.090863857459592
T0005,F08,2023,15770,-0.002869890204079045,-29.371196864847427
T0006,F01,2020,11432,-0.0027292635256972097,-6.486811989149546
T0006,F02,2020,11901,-0.0024115214597042276,-5.671378191431257
T0006,F03,2021,10851,-0.0012296322900843116,-1.8294164629993543
T0006,F04,2021,10929,-0.0024553405945138542,-5.197106134701713
T0006,F05,2022,10256,-0.004098823292350714,-7.0644469501975795
T0006,F06,2022,11092,-0.003419803023059349,-8.19072349994457
T0006,F07,2023,11041,-0.0027669335245236798,-6.428772248680088
T0006,F08,2023,12050,-0.0027112841385692438,-8.671468172722989
T0007,F01,2020,6675,-0.001766384456854255,-1.6766243731937194
T0007,F02,2020,7024,-0.0013570104745100064,-1.2989836084308608
T0007,F03,2021,6330,0.0015060191623108457,0.9090443002290984
T0007,F04,2021,6261,-0.0020309628524634578,-1.686190771781134
T0007,F05,2022,5808,-0.007878414278966683,-5.529584725817345
T0007,F06,2022,6458,-0.0048321789935746205,-5.068359306262702
T0007,F07,2023,6649,-0.001771605299750156,-1.7093546403292583
T0007,F08,2023,7191,-0.0021446732092525495,-3.148555622549019
T0008,F01,2020,4250,0.0005698008404263731,0.2885731027692019
T0008,F02,2020,4638,0.0003599041873419478,0.1890172669245292
T0008,F03,2021,3997,0.004680742166974135,1.4692840082508805
T0008,F04,2021,3958,-0.0009965764190750976,-0.4769947593141873
T0008,F05,2022,3830,-0.01116099282807107,-4.522830865614015
T0008,F06,2022,4177,-0.006295574746111551,-3.632174208065619
T0008,F07,2023,4313,-0.0013298039632147565,-0.7037495589708221
T0008,F08,2023,4844,-0.0007066637557097728,-0.5953142333048895
T0009,F01,2020,13850,-0.0028281647648315204,-21.16293222205621
T0009,F02,2020,15006,-0.002793653475117477,-19.838563653940117
T0009,F03,2021,13569,-0.0026186664512946865,-11.6980612346745
T0009,F04,2021,14120,-0.0029086910375738396,-17.97802963885086
T0009,F05,2022,12408,-0.003255708993425109,-18.655710004309853
T0009,F06,2022,14347,-0.003152457130813399,-24.691379929345306
T0009,F07,2023,13981,-0.0029349362753767058,-21.162688740974996
T0009,F08,2023,15821,-0.0029437994539001375,-29.52851100320226
T0010,F01,2020,10673,-0.0023261662958858243,-5.384863536006707
T0010,F02,2020,11392,-0.0020786812797666024,-4.590774810992118
T0010,F03,2021,10031,-0.001952750235147233,-2.823622172711348
T0010,F04,2021,10709,-0.002652306822234818,-5.331851503713296
T0010,F05,2022,9094,-0.0041099774280273504,-7.266245433186029
T0010,F06,2022,10601,-0.003386427063284321,-8.41620708468852
T0010,F07,2023,10525,-0.0027113842454824437,-5.839896283535252
T0010,F08,2023,11676,-0.0026350879122469363,-8.065115152096238
T0011,F01,2020,6272,-0.0005889420373507237,-0.5628303401496817
T0011,F02,2020,6557,-0.00020695991599749332,-0.1885618157975076
T0011,F03,2021,5872,0.0004607445008918685,0.2690863272171768
T0011,F04,2021,6144,-0.0027206256133491258,-2.2999256037995774
T0011,F05,2022,5237,-0.005605340708776062,-4.051001464281452
T0011,F06,2022,6221,-0.004236707221819169,-4.408040830931922
T0011,F07,2023,6094,-0.001710384368901323,-1.6262836656944213
T0011,F08,2023,6796,-0.0012950161089349318,-1.7052971073707592
T0012,F01,2020,3836,0.001155344175970932,0.6141007239650151
T0012,F02,2020,4037,0.002045539308294902,0.9896811611362705
T0012,F03,2021,3553,0.004110505259577341,1.2392404877766643
T0012,F04,2021,3789,-0.003491803853480492,-1.6466291428782478
T0012,F05,2022,3382,-0.0077588009760305035,-3.1441785008911003
T0012,F06,2022,3938,-0.005879836610418953,-3.327353805203997
T0012,F07,2023,3767,-0.000829059935637618,-0.4465659083928298
T0012,F08,2023,4284,2.917343099973547e-05,0.02302278337907749
T0013,F01,2020,15217,-0.0029662287682356635,-22.119304110026338
T0013,F02,2020,15610,-0.00268091370262606,-19.96140297566074
T0013,F03,2021,14423,-0.002715912079384676,-12.69982493472194
T0013,F04,2021,14758,-0.0028868045134581273,-18.364707483465175
T0013,F05,2022,13744,-0.003315906910646218,-18.96778517076845
T0013,F06,2022,14899,-0.003157476275374493,-24.435572565165174
T0013,F07,2023,14843,-0.002998155520809798,-23.07643507235598
T0013,F08,2023,15823,-0.002914242650324818,-29.274756893776154
T0014,F01,2020,11565,-0.002878104305594584,-6.896314072616301
T0014,F02,2020,11974,-0.0025391256152299353,-5.898484001726323
T0014,F03,2021,10569,-0.002363772287411798,-3.40511647899497
T0014,F04,2021,10787,-0.002962342028944974,-6.078500347581817
T0014,F05,2022,9961,-0.004149733845215804,-7.036934568569009
T0014,F06,2022,10952,-0.0035156485841768025,-8.398722937856693
T0014,F07,2023,11084,-0.0029064094482077643,-6.891903792980657
T0014,F08,2023,12258,-0.002662102553393975,-8.766371804931504
T0015,F01,2020,6737,-0.0027853415100459467,-2.63556148804456
T0015,F02,2020,7235,-0.0017446992143092953,-1.7220861587611092
T0015,F03,2021,6117,-0.00010441283532943688,-0.0642583021270278
T0015,F04,2021,6172,-0.0030815334432276503,-2.6415528434902042
T0015,F05,2022,5724,-0.007248886409444626,-5.247202856998635
T0015,F06,2022,6489,-0.005404831310267705,-5.5256577701091985
T0015,F07,2023,6905,-0.0018978046980945983,-1.8724037727868035
T0015,F08,2023,7340,-0.0019160047980872846,-2.7151966312994835
T0016,F01,2020,4574,-0.00044300792170907634,-0.21720406832048703
T0016,F02,2020,4757,0.0008564081102172737,0.4609323154068782
T0016,F03,2021,4089,0.0030431330666943353,0.9436712785866866
T0016,F04,2021,4062,-0.00026605706605543216,-0.12593849709653962
T0016,F05,2022,3901,-0.011693293127304836,-4.50804624681929
T0016,F06,2022,4363,-0.006024889983167522,-3.5108456785163975
