trial_id,feature_id,market,timeframe,side,seed,blocks,samples,ci95_low,ci95_high
T0001,trend.ema_20_50_spread,spot,15m,LONG,1729,calendar_month,1000,-0.003303480913336194,0.0022145502292632425
T0002,trend.ema_20_50_spread,spot,15m,LONG,1729,calendar_month,1000,-0.003259242709416093,0.004112427313791006
T0003,trend.ema_20_50_spread,spot,15m,LONG,1729,calendar_month,1000,-0.005762860452939924,0.003884679996629945
T0004,trend.ema_50_200_regime,spot,15m,LONG,1729,calendar_month,1000,-0.003303480913336194,0.0022145502292632425
T0005,trend.ema_50_200_regime,spot,15m,LONG,1729,calendar_month,1000,-0.003259242709416093,0.004112427313791006
T0006,trend.ema_50_200_regime,spot,15m,LONG,1729,calendar_month,1000,-0.005762860452939924,0.003884679996629945
T0007,trend.ema_slope,spot,15m,LONG,1729,calendar_month,1000,-0.004583683439776732,0.004435618573426563
T0008,trend.adx_dmi,spot,15m,LONG,1729,calendar_month,1000,-0.004401696174224074,0.004726137830852116
T0009,trend.kaufman_er,spot,15m,LONG,1729,calendar_month,1000,-0.0060281832164459075,0.005869389244718854
T0010,trend.donchian,spot,15m,LONG,1729,calendar_month,1000,-0.005157095326651176,0.005121994755186581
T0011,trend.donchian,spot,15m,LONG,1729,calendar_month,1000,-0.003280577451733797,0.006609709183018548
T0012,trend.donchian,spot,15m,LONG,1729,calendar_month,1000,-0.001481452546150047,0.005817959074006916
T0013,momentum.roc,spot,15m,LONG,1729,calendar_month,1000,-0.005615480275754457,0.004497462851236219
T0014,momentum.roc,spot,15m,LONG,1729,calendar_month,1000,-0.004666636691197808,0.005324429182025673
T0015,momentum.roc,spot,15m,LONG,1729,calendar_month,1000,-0.004324270902294059,0.004382890377774677
T0016,momentum.rsi,spot,15m,LONG,1729,calendar_month,1000,-0.004571201944746371,0.005490598046267592
T0017,momentum.rsi,spot,15m,LONG,1729,calendar_month,1000,-0.007135425200445581,0.0070349903188538605
T0018,momentum.rsi,spot,15m,LONG,1729,calendar_month,1000,-0.004230638848708257,0.004708328037614485
T0019,volatility.atr_natr,spot,15m,LONG,1729,calendar_month,1000,-0.008615044551807899,-0.0007898219659246771
