trial_id,feature_id,market,timeframe,side,hac_lags,hac_t_stat,p_value_two_sided,n_trades,family
T0001,trend.ema_20_50_spread,spot,15m,LONG,newey_west_automatic,-0.887017330061646,0.3752998832222335,927,spot|15m
T0002,trend.ema_20_50_spread,spot,15m,LONG,newey_west_automatic,-0.07284167735862772,0.941947835560704,927,spot|15m
T0003,trend.ema_20_50_spread,spot,15m,LONG,newey_west_automatic,-1.579786734362007,0.11449721810493725,927,spot|15m
T0004,trend.ema_50_200_regime,spot,15m,LONG,newey_west_automatic,-0.887017330061646,0.3752998832222335,927,spot|15m
T0005,trend.ema_50_200_regime,spot,15m,LONG,newey_west_automatic,-0.07284167735862772,0.941947835560704,927,spot|15m
T0006,trend.ema_50_200_regime,spot,15m,LONG,newey_west_automatic,-1.579786734362007,0.11449721810493725,927,spot|15m
T0007,trend.ema_slope,spot,15m,LONG,newey_west_automatic,-0.6630281378675733,0.5074775392833224,927,spot|15m
T0008,trend.adx_dmi,spot,15m,LONG,newey_west_automatic,-0.43575427852147697,0.6631251384676657,855,spot|15m
T0009,trend.kaufman_er,spot,15m,LONG,newey_west_automatic,-0.6552323856180801,0.5124876540166095,890,spot|15m
T0010,trend.donchian,spot,15m,LONG,newey_west_automatic,-0.6290466933919535,0.5294941112295256,819,spot|15m
T0011,trend.donchian,spot,15m,LONG,newey_west_automatic,0.8163914942791233,0.4145444166276395,726,spot|15m
T0012,trend.donchian,spot,15m,LONG,newey_west_automatic,1.3286585949752516,0.1843862942183762,713,spot|15m
T0013,momentum.roc,spot,15m,LONG,newey_west_automatic,-1.2407578868397167,0.21500945714324934,927,spot|15m
T0014,momentum.roc,spot,15m,LONG,newey_west_automatic,-0.3473999877216316,0.7283697852188912,927,spot|15m
T0015,momentum.roc,spot,15m,LONG,newey_west_automatic,-0.5465682436067898,0.5848070618601398,927,spot|15m
T0016,momentum.rsi,spot,15m,LONG,newey_west_automatic,-0.15290557228410417,0.8785093322048869,844,spot|15m
T0017,momentum.rsi,spot,15m,LONG,newey_west_automatic,-0.6167795842639324,0.5376172378510642,593,spot|15m
T0018,momentum.rsi,spot,15m,LONG,newey_west_automatic,-0.23418055178578756,0.8149870164396097,338,spot|15m
