trial_id,cohort,trades,sharpe
T0001,top50,979,-2.8004586138601146
T0002,top50,979,-2.8004586138601146
T0003,top50,979,-2.8004586138601146
T0004,top50,979,-2.8004586138601146
T0005,top50,979,-2.8004586138601146
T0006,top50,979,-2.8004586138601146
T0007,top50,979,-2.8004586138601146
T0008,top50,916,-2.725002902924772
T0009,top50,949,-1.500437025515548
T0010,top50,860,-3.8834820953589095
T0011,top50,773,5.591564718038358
T0012,top50,759,6.759277219440888
T0013,top50,979,-2.727702989118332
T0014,top50,976,-3.237800277542334
T0015,top50,980,-2.30073823984194
T0016,top50,898,-3.903250579666886
T0017,top50,629,-5.6634425392348895
T0018,top50,362,-3.6407253579823826
T0019,top50,208,-16.977201956435245
T0020,top50,953,0.23056817665209706
T0021,top50,665,1.5711204991142793
T0022,top50,860,-1.8480653009212133
T0023,top50,979,-2.8004586138601146
T0024,top50,979,-2.7827194406783438
T0025,top50,979,-2.8004586138601146
T0026,top50,858,-11.297882318981214
T0027,top50,982,-2.8282141697287186
T0028,top50,920,0.4747901336603276
T0029,top50,920,0.4747901336603276
T0030,top50,920,0.4747901336603276
T0031,top50,920,0.4747901336603276
T0032,top50,920,0.4747901336603276
T0033,top50,920,0.4747901336603276
T0034,top50,920,0.4747901336603276
T0035,top50,754,-2.76938465806824
T0036,top50,837,2.212447217600849
T0037,top50,615,5.685481720367024
T0038,top50,439,0.663679631359987
T0039,top50,407,-0.980880423663166
T0040,top50,918,0.6217936102840532
T0041,top50,921,0.7605494763907726
T0042,top50,917,-0.5979467849563622
T0043,top50,688,4.0579081467708304
T0044,top50,335,0.8255287960445223
T0045,top50,143,9.102477495227497
T0046,top50,85,9.527207489858998
T0047,top50,848,2.9327577758773935
T0048,top50,269,15.771129564775691
T0049,top50,570,0.16877970592959382
T0050,top50,920,0.4747901336603276
T0051,top50,920,0.12316275245190057
T0052,top50,920,0.4747901336603276
T0053,top50,908,-5.180724740472307
T0054,top50,737,-3.0115113335514687
T0055,top50,737,-3.0115113335514687
T0056,top50,737,-3.3191337727047387
T0057,top50,737,-3.0115113335514687
T0058,top50,737,-3.0115113335514687
T0059,top50,737,-3.3191337727047387
T0060,top50,737,-3.0115113335514687
T0061,top50,553,-2.040669971161665
T0062,top50,576,-0.3441903202407168
T0063,top50,262,2.207310706324038
T0064,top50,134,-0.09127190568131494
T0065,top50,116,-0.1666545664667432
T0066,top50,735,-2.5539700005107586
T0067,top50,731,-3.143894765238166
T0068,top50,733,-3.0258144260120625
T0069,top50,385,-1.1741327467105365
T0070,top50,120,-3.703456101257061
T0071,top50,46,7.605807820985725
T0072,top50,33,10.673557017575185
