trial_id,feature_id,market,timeframe,side,hac_lags,hac_t_stat,p_value_two_sided,n_trades,family
T0001,trend.ema_20_50_spread,spot,15m,LONG,newey_west_automatic,-0.6059785544855978,0.5446696048731243,979,spot|15m
T0002,trend.ema_20_50_spread,spot,15m,LONG,newey_west_automatic,-0.6059785544855978,0.5446696048731243,979,spot|15m
T0003,trend.ema_20_50_spread,spot,15m,LONG,newey_west_automatic,-0.6059785544855978,0.5446696048731243,979,spot|15m
T0004,trend.ema_50_200_regime,spot,15m,LONG,newey_west_automatic,-0.6059785544855978,0.5446696048731243,979,spot|15m
T0005,trend.ema_50_200_regime,spot,15m,LONG,newey_west_automatic,-0.6059785544855978,0.5446696048731243,979,spot|15m
T0006,trend.ema_50_200_regime,spot,15m,LONG,newey_west_automatic,-0.6059785544855978,0.5446696048731243,979,spot|15m
T0007,trend.ema_slope,spot,15m,LONG,newey_west_automatic,-0.6059785544855978,0.5446696048731243,979,spot|15m
T0008,trend.adx_dmi,spot,15m,LONG,newey_west_automatic,-0.5266619182629605,0.5985560299904591,916,spot|15m
T0009,trend.kaufman_er,spot,15m,LONG,newey_west_automatic,-0.3200752022954217,0.7489818532452142,949,spot|15m
T0010,trend.donchian,spot,15m,LONG,newey_west_automatic,-0.7480105046585827,0.45465855372111486,860,spot|15m
T0011,trend.donchian,spot,15m,LONG,newey_west_automatic,1.0175583842732427,0.30920665599077024,773,spot|15m
T0012,trend.donchian,spot,15m,LONG,newey_west_automatic,1.2638980781891387,0.20665515194122674,759,spot|15m
T0013,momentum.roc,spot,15m,LONG,newey_west_automatic,-0.590329780118065,0.5551059527534771,979,spot|15m
T0014,momentum.roc,spot,15m,LONG,newey_west_automatic,-0.7030882597405442,0.48216859179665567,976,spot|15m
T0015,momentum.roc,spot,15m,LONG,newey_west_automatic,-0.5030717075700688,0.6150270145533457,980,spot|15m
T0016,momentum.rsi,spot,15m,LONG,newey_west_automatic,-0.7612098364216031,0.44673181004250273,898,spot|15m
T0017,momentum.rsi,spot,15m,LONG,newey_west_automatic,-0.9169785740995177,0.3595058715068199,629,spot|15m
T0018,momentum.rsi,spot,15m,LONG,newey_west_automatic,-0.4210173477680714,0.6739929550452906,362,spot|15m
T0019,volatility.atr_natr,spot,15m,LONG,newey_west_automatic,-1.4155752028608013,0.1584026925853528,208,spot|15m
T0020,volatility.bollinger_bandwidth,spot,15m,LONG,newey_west_automatic,0.050273560615956954,0.9599149383333292,953,spot|15m
T0021,volatility.realized_percentile,spot,15m,LONG,newey_west_automatic,0.2456027810529516,0.8060656286175326,665,spot|15m
T0022,volume.rvol,spot,15m,LONG,newey_west_automatic,-0.3749134947118841,0.7078173454487307,860,spot|15m
T0023,volume.vwap_deviation,spot,15m,LONG,newey_west_automatic,-0.6059785544855978,0.5446696048731243,979,spot|15m
T0024,orderflow.taker_ratio,spot,15m,LONG,newey_west_automatic,-0.6059137381231628,0.5447126294930779,979,spot|15m
T0025,orderflow.cvd,spot,15m,LONG,newey_west_automatic,-0.6059785544855978,0.5446696048731243,979,spot|15m
T0026,context.btc_regime,spot,15m,LONG,newey_west_automatic,-2.025842677209994,0.043090301575832594,858,spot|15m
T0027,context.market_breadth,spot,15m,LONG,newey_west_automatic,-0.604928144384406,0.5453666385075246,982,spot|15m
T0028,trend.ema_20_50_spread,spot,1h,LONG,newey_west_automatic,0.19080126852543045,0.8487234362457171,920,spot|1h
T0029,trend.ema_20_50_spread,spot,1h,LONG,newey_west_automatic,0.19080126852543045,0.8487234362457171,920,spot|1h
