trial_id,feature_id,market,timeframe,side,fold_count,positive_fold_fraction
T0001,trend.ema_20_50_spread,spot,15m,LONG,1,0.0
T0002,trend.ema_20_50_spread,spot,15m,LONG,1,0.0
T0003,trend.ema_20_50_spread,spot,15m,LONG,1,0.0
T0004,trend.ema_50_200_regime,spot,15m,LONG,1,0.0
T0005,trend.ema_50_200_regime,spot,15m,LONG,1,0.0
T0006,trend.ema_50_200_regime,spot,15m,LONG,1,0.0
T0007,trend.ema_slope,spot,15m,LONG,1,0.0
T0008,trend.adx_dmi,spot,15m,LONG,1,0.0
T0009,trend.kaufman_er,spot,15m,LONG,1,0.0
T0010,trend.donchian,spot,15m,LONG,1,0.0
T0011,trend.donchian,spot,15m,LONG,1,1.0
T0012,trend.donchian,spot,15m,LONG,1,1.0
T0013,momentum.roc,spot,15m,LONG,1,0.0
T0014,momentum.roc,spot,15m,LONG,1,0.0
T0015,momentum.roc,spot,15m,LONG,1,0.0
T0016,momentum.rsi,spot,15m,LONG,1,0.0
T0017,momentum.rsi,spot,15m,LONG,1,0.0
T0018,momentum.rsi,spot,15m,LONG,1,0.0
T0019,volatility.atr_natr,spot,15m,LONG,1,0.0
T0020,volatility.bollinger_bandwidth,spot,15m,LONG,1,1.0
T0021,volatility.realized_percentile,spot,15m,LONG,1,1.0
T0022,volume.rvol,spot,15m,LONG,1,0.0
T0023,volume.vwap_deviation,spot,15m,LONG,1,0.0
T0024,orderflow.taker_ratio,spot,15m,LONG,1,0.0
T0025,orderflow.cvd,spot,15m,LONG,1,0.0
T0026,context.btc_regime,spot,15m,LONG,1,0.0
T0027,context.market_breadth,spot,15m,LONG,1,0.0
T0028,trend.ema_20_50_spread,spot,1h,LONG,1,1.0
T0029,trend.ema_20_50_spread,spot,1h,LONG,1,1.0
T0030,trend.ema_20_50_spread,spot,1h,LONG,1,1.0
T0031,trend.ema_50_200_regime,spot,1h,LONG,1,1.0
T0032,trend.ema_50_200_regime,spot,1h,LONG,1,1.0
T0033,trend.ema_50_200_regime,spot,1h,LONG,1,1.0
T0034,trend.ema_slope,spot,1h,LONG,1,1.0
T0035,trend.adx_dmi,spot,1h,LONG,1,0.0
T0036,trend.kaufman_er,spot,1h,LONG,1,1.0
T0037,trend.donchian,spot,1h,LONG,1,1.0
T0038,trend.donchian,spot,1h,LONG,1,1.0
T0039,trend.donchian,spot,1h,LONG,1,0.0
T0040,momentum.roc,spot,1h,LONG,1,1.0
T0041,momentum.roc,spot,1h,LONG,1,1.0
T0042,momentum.roc,spot,1h,LONG,1,0.0
T0043,momentum.rsi,spot,1h,LONG,1,1.0
T0044,momentum.rsi,spot,1h,LONG,1,1.0
T0045,momentum.rsi,spot,1h,LONG,1,1.0
T0046,volatility.atr_natr,spot,1h,LONG,1,1.0
T0047,volatility.bollinger_bandwidth,spot,1h,LONG,1,1.0
T0048,volatility.realized_percentile,spot,1h,LONG,1,1.0
T0049,volume.rvol,spot,1h,LONG,1,1.0
T0050,volume.vwap_deviation,spot,1h,LONG,1,1.0
T0051,orderflow.taker_ratio,spot,1h,LONG,1,1.0
T0052,orderflow.cvd,spot,1h,LONG,1,1.0
T0053,context.btc_regime,spot,1h,LONG,1,0.0
T0054,trend.ema_20_50_spread,spot,4h,LONG,1,0.0
T0055,trend.ema_20_50_spread,spot,4h,LONG,1,0.0
T0056,trend.ema_20_50_spread,spot,4h,LONG,1,0.0
T0057,trend.ema_50_200_regime,spot,4h,LONG,1,0.0
T0058,trend.ema_50_200_regime,spot,4h,LONG,1,0.0
T0059,trend.ema_50_200_regime,spot,4h,LONG,1,0.0
T0060,trend.ema_slope,spot,4h,LONG,1,0.0
T0061,trend.adx_dmi,spot,4h,LONG,1,0.0
T0062,trend.kaufman_er,spot,4h,LONG,1,0.0
T0063,trend.donchian,spot,4h,LONG,1,1.0
T0064,trend.donchian,spot,4h,LONG,1,0.0
T0065,trend.donchian,spot,4h,LONG,1,0.0
T0066,momentum.roc,spot,4h,LONG,1,0.0
T0067,momentum.roc,spot,4h,LONG,1,0.0
