trial_id,feature_id,market,timeframe,side,observations,signals,executed_trades,signal_frequency,exposure,turnover,gross_return,net_return,hit_rate,mean_net_return,median_net_return,sharpe,sortino,max_drawdown,calmar,hac_t_stat,bootstrap_ci_low,bootstrap_ci_high
T0001,trend.ema_20_50_spread,spot,15m,LONG,174194,836,836,0.004799246816767512,0.46072769440968114,1672.0,-0.9777560714341729,-0.998224804494855,0.39712918660287083,-0.005583964304450343,-0.009811973828705352,-16.5527018268242,-23.707937395462913,-0.9982998386426999,-195.99533291918038,-2.997627079188547,-0.005583964304450343,-0.005583964304450343
T0002,trend.ema_20_50_spread,spot,15m,LONG,174194,836,836,0.004799246816767512,0.46072769440968114,1672.0,-0.9951686947505357,-0.9996167115397545,0.4019138755980861,-0.0068642385064996364,-0.010753137757028183,-17.91807335938868,-25.955725662248124,-0.9996428669066417,-240.60884664944055,-3.4372224678763295,-0.0068642385064996364,-0.0068642385064996364
T0003,trend.ema_20_50_spread,spot,15m,LONG,174194,748,748,0.004294062941318301,0.4122300423665568,1496.0,-0.9988378371526099,-0.9998802830607125,0.35561497326203206,-0.009738879172566509,-0.013524247525574126,-26.945193400116903,-37.127617820166286,-0.9998705338710959,-341.29451228605234,-4.450480963926619,-0.009738879172566509,-0.009738879172566509
T0004,trend.ema_50_200_regime,spot,15m,LONG,174194,836,836,0.004799246816767512,0.46072769440968114,1672.0,-0.9777560714341729,-0.998224804494855,0.39712918660287083,-0.005583964304450343,-0.009811973828705352,-16.5527018268242,-23.707937395462913,-0.9982998386426999,-195.99533291918038,-2.997627079188547,-0.005583964304450343,-0.005583964304450343
T0005,trend.ema_50_200_regime,spot,15m,LONG,174194,836,836,0.004799246816767512,0.46072769440968114,1672.0,-0.9951686947505357,-0.9996167115397545,0.4019138755980861,-0.0068642385064996364,-0.010753137757028183,-17.91807335938868,-25.955725662248124,-0.9996428669066417,-240.60884664944055,-3.4372224678763295,-0.0068642385064996364,-0.0068642385064996364
T0006,trend.ema_50_200_regime,spot,15m,LONG,174194,748,748,0.004294062941318301,0.4122300423665568,1496.0,-0.9988378371526099,-0.9998802830607125,0.35561497326203206,-0.009738879172566509,-0.013524247525574126,-26.945193400116903,-37.127617820166286,-0.9998705338710959,-341.29451228605234,-4.450480963926619,-0.009738879172566509,-0.009738879172566509
T0007,trend.ema_slope,spot,15m,LONG,174194,836,836,0.004799246816767512,0.46072769440968114,1672.0,-0.9797741583775604,-0.9983877732668659,0.39712918660287083,-0.005318477588962493,-0.0114556007018029,-14.359996270715149,-21.237190375473634,-0.9984645902804126,-186.64603285020638,-2.8419472177990164,-0.005318477588962493,-0.005318477588962493
T0008,trend.adx_dmi,spot,15m,LONG,174194,789,789,0.004529432701470774,0.4348255393411943,1578.0,-0.8565211787827482,-0.9867382373630533,0.41064638783269963,-0.0033463488109422047,-0.009421591437878126,-9.446920534955115,-14.688810037363549,-0.990773506845092,-118.3479993412338,-1.6709464858751437,-0.0033463488109422047,-0.0033463488109422047
T0009,trend.kaufman_er,spot,15m,LONG,174194,828,828,0.004753321009908493,0.4563188169512153,1656.0,-0.961857902719379,-0.996877784166742,0.4142512077294686,-0.004824425315117252,-0.009639722568380856,-13.689537362713653,-20.444338648530902,-0.9971723356127278,-169.52722915024958,-2.652437438004518,-0.004824425315117252,-0.004824425315117252
T0010,trend.donchian,spot,15m,LONG,174194,745,745,0.004276840763746168,0.41057671331963214,1490.0,-0.9709693213520912,-0.9969510249675033,0.3838926174496644,-0.005693054265246439,-0.011601512679816125,-16.38059208337802,-24.25365004922739,-0.9971139843015264,-200.0620035371114,-2.954407290749778,-0.005693054265246439,-0.005693054265246439
T0011,trend.donchian,spot,15m,LONG,174194,640,640,0.0036740645487215403,0.3527101966772679,1280.0,-0.983204520653036,-0.9975851096602674,0.3984375,-0.007158818587818588,-0.011561983956493323,-19.95049741784985,-28.297440789685787,-0.9976722155963892,-251.43027879874657,-3.0002218547653987,-0.007158818587818588,-0.007158818587818588
T0012,trend.donchian,spot,15m,LONG,174194,628,628,0.0036051758384330113,0.3460968804895691,1256.0,-0.9549852685300201,-0.9932684099001767,0.4012738853503185,-0.005793214223392738,-0.01012549096370657,-16.399810840601607,-23.87993251405786,-0.9959529080091565,-203.81910103907774,-2.3134681201602447,-0.005793214223392738,-0.005793214223392738
T0013,momentum.roc,spot,15m,LONG,174194,836,836,0.004799246816767512,0.46072769440968114,1672.0,-0.9900938115665218,-0.9992121228773987,0.3708133971291866,-0.006152396375931858,-0.011941130539683039,-16.585919113206206,-24.308077242803446,-0.9992453865063413,-215.7427714191245,-3.2425518352817364,-0.006152396375931858,-0.006152396375931858
T0014,momentum.roc,spot,15m,LONG,174194,836,836,0.004799246816767512,0.46072769440968114,1672.0,-0.9481065691512987,-0.9958501409077704,0.39473684210526316,-0.004355589770795428,-0.011000512032770023,-12.20695784629091,-18.115978238607756,-0.9960490067001871,-153.22525753455292,-2.4256935699787805,-0.004355589770795428,-0.004355589770795428
T0015,momentum.roc,spot,15m,LONG,174194,836,836,0.004799246816767512,0.46072769440968114,1672.0,-0.9803306997247222,-0.9984322682459515,0.39952153110047844,-0.005351514035754861,-0.011579887326588541,-14.447917829263003,-21.367407649783207,-0.9985069652280281,-187.7974399207393,-2.8585012593837966,-0.005351514035754861,-0.005351514035754861
T0016,momentum.rsi,spot,15m,LONG,174194,778,778,0.004466284717039622,0.42876333283580376,1556.0,-0.9895482626794244,-0.9990087223424878,0.38046272493573263,-0.007008181304508972,-0.01215608730301387,-21.342235689443974,-30.619809321938696,-0.9990885496865399,-245.79069891957022,-3.847821230924115,-0.007008181304508972,-0.007008181304508972
T0017,momentum.rsi,spot,15m,LONG,174194,587,587,0.003369806078280538,0.32350138351493163,1174.0,-0.03025053893236007,-0.8344801359383527,0.4514480408858603,-0.0006324701799935121,-0.005420309320850578,-1.6772310145373002,-2.587709167154342,-0.9530142807150305,-23.254378822471658,-0.2725221217850432,-0.0006324701799935121,-0.0006324701799935121
T0018,momentum.rsi,spot,15m,LONG,174194,373,373,0.002141290744801773,0.20556391150097017,746.0,1886.4075762845846,626.5985788538258,0.6246648793565683,0.02009790181747888,0.01647086801426878,50.38376624659369,97.27824695322708,-0.26313266897131293,2676.332370425795,5.9127436240399405,0.02009790181747888,0.02009790181747888
T0019,volatility.atr_natr,spot,15m,LONG,174194,521,521,0.002990918171693629,0.2871281444825884,1042.0,-0.41795676460930353,-0.8789623387911557,0.4165067178502879,-0.0017837540666894322,-0.008333764344593538,-4.88804306281226,-7.5648754641882014,-0.929953763521338,-67.21059148158774,-0.6522534268613159,-0.0017837540666894322,-0.0017837540666894322
T0020,volatility.bollinger_bandwidth,spot,15m,LONG,174194,829,829,0.00475906173576587,0.45686992663352355,1658.0,-0.9731235563341869,-0.9978091749552257,0.3896260554885404,-0.005172628233070002,-0.010567299342513322,-14.378637998181466,-21.666497259589278,-0.9980024342317559,-181.61167455096935,-2.6755530315267,-0.005172628233070002,-0.005172628233070002
T0021,volatility.realized_percentile,spot,15m,LONG,174194,583,583,0.003346843174851028,0.3212969447856987,1166.0,-0.99357800806485,-0.9989060026027623,0.36363636363636365,-0.009897076816990168,-0.013325655281969714,-31.129780485738948,-42.8357931131197,-0.9989244275043369,-347.16697491695874,-4.163121439731148,-0.009897076816990168,-0.009897076816990168
T0022,volume.rvol,spot,15m,LONG,174194,709,709,0.0040701746328805815,0.3907367647565358,1418.0,-0.965478991484815,-0.9959589560578778,0.4019746121297602,-0.005517425835939004,-0.009358177322500768,-15.337024672712998,-22.073954827265947,-0.9961342361312806,-194.08087211433184,-2.5589938580587277,-0.005517425835939004,-0.005517425835939004
T0023,volume.vwap_deviation,spot,15m,LONG,174194,836,836,0.004799246816767512,0.46072769440968114,1672.0,-0.9667699637858097,-0.9973454719068445,0.4043062200956938,-0.005009787398997748,-0.010997324755529943,-14.499498356565947,-20.933535890885818,-0.9974749041706548,-175.98733534738435,-2.8240690750296458,-0.005009787398997748,-0.005009787398997748
T0024,orderflow.taker_ratio,spot,15m,LONG,174194,836,836,0.004799246816767512,0.46072769440968114,1672.0,-0.9787299934257327,-0.9983026787643442,0.41148325358851673,-0.005663488676225245,-0.007852730266637572,-16.93240021937775,-23.786000521738764,-0.9983688132649517,-198.77287889827878,-3.1609632743875093,-0.005663488676225245,-0.005663488676225245
