trial_id,feature_id,variant,market,timeframe,side,cohort,horizon_bars_24h,status,observations,signals,executed_trades,signal_frequency,exposure,turnover,gross_return,net_return,hit_rate,mean_net_return,median_net_return,sharpe,sortino,max_drawdown,calmar,hac_t_stat,bootstrap_ci_low,bootstrap_ci_high
T0001,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,top50,96,REGISTERED,174194,1763,1763,0.010120899686556368,0.9716063699094113,3526.0,-0.9329672702910085,-0.9996695511011947,0.43448667044809985,-0.00313290329446589,-0.0049500780031199705,-11.008404543747016,-15.822151604228269,-0.9996608357934262,-109.81417647611985,-2.8865392761557933,-0.004702222010160426,0.0022145502292632425
T0002,trend.ema_20_50_spread,ema_20_50,spot,15m,LONG,top50,96,REGISTERED,174194,1763,1763,0.010120899686556368,0.9716063699094113,3526.0,-0.9652998869644744,-0.9998294622279653,0.4441293250141804,-0.0032961732125805863,-0.005327127659574435,-10.75813642163329,-15.629138592465306,-0.9998259702176859,-115.51801294346964,-2.940320971255101,-0.005470377328903872,0.004112427313791006
T0003,trend.ema_20_50_spread,ema_50_200,spot,15m,LONG,top50,96,REGISTERED,174194,1675,1675,0.009615715811107156,0.923108717866287,3350.0,-0.9977719224022975,-0.9999858341207166,0.41492537313432837,-0.005234529600672902,-0.00788461741564139,-18.37376327265335,-25.818936753439313,-0.9999855940617209,-183.4205595528385,-4.996820295308301,-0.008095458101787521,0.003884679996629945
T0004,trend.ema_50_200_regime,ema_10_30,spot,15m,LONG,top50,96,REGISTERED,174194,1763,1763,0.010120899686556368,0.9716063699094113,3526.0,-0.9329672702910085,-0.9996695511011947,0.43448667044809985,-0.00313290329446589,-0.0049500780031199705,-11.008404543747016,-15.822151604228269,-0.9996608357934262,-109.81417647611985,-2.8865392761557933,-0.004702222010160426,0.0022145502292632425
T0005,trend.ema_50_200_regime,ema_20_50,spot,15m,LONG,top50,96,REGISTERED,174194,1763,1763,0.010120899686556368,0.9716063699094113,3526.0,-0.9652998869644744,-0.9998294622279653,0.4441293250141804,-0.0032961732125805863,-0.005327127659574435,-10.75813642163329,-15.629138592465306,-0.9998259702176859,-115.51801294346964,-2.940320971255101,-0.005470377328903872,0.004112427313791006
T0006,trend.ema_50_200_regime,ema_50_200,spot,15m,LONG,top50,96,REGISTERED,174194,1675,1675,0.009615715811107156,0.923108717866287,3350.0,-0.9977719224022975,-0.9999858341207166,0.41492537313432837,-0.005234529600672902,-0.00788461741564139,-18.37376327265335,-25.818936753439313,-0.9999855940617209,-183.4205595528385,-4.996820295308301,-0.008095458101787521,0.003884679996629945
T0007,trend.ema_slope,default,spot,15m,LONG,top50,96,REGISTERED,174194,1763,1763,0.010120899686556368,0.9716063699094113,3526.0,-0.9236975755647573,-0.9996240350726779,0.44526375496313103,-0.0028857634757597033,-0.004311762133799799,-9.530791117468436,-13.985962312763794,-0.999615228879412,-101.15607412661599,-2.6693953728993107,-0.005034371560627279,0.004435618573426563
T0008,trend.adx_dmi,adx14_threshold20,spot,15m,LONG,top50,96,REGISTERED,174194,1644,1644,0.009437753309528457,0.9060243177147318,3288.0,-0.39345885299338634,-0.9956945491327983,0.45681265206812655,-0.0018686496526412243,-0.0039757950791226545,-6.429241784734041,-9.796344638383488,-0.9977319599421267,-65.62632696696066,-1.5808292862162165,-0.0037506648453504267,0.004726137830852116
T0009,trend.kaufman_er,er10_threshold0.3,spot,15m,LONG,top50,96,REGISTERED,174194,1718,1718,0.009862567022974385,0.946806434205541,3436.0,-0.853612739795823,-0.9991718546577064,0.44644935972060534,-0.002691777289877978,-0.004926838397441066,-9.32744276234445,-13.843352677581143,-0.9991780521028509,-94.39746603602886,-2.510101141085721,-0.005273098714703386,0.005869389244718854
T0010,trend.donchian,donchian_20,spot,15m,LONG,top50,96,REGISTERED,174194,1564,1564,0.008978495240938264,0.8619355431300734,3128.0,-0.9048873552147665,-0.9991458088017525,0.4354219948849105,-0.003098942961207813,-0.005554531834065732,-10.81105249760076,-15.904614807353205,-0.9991669456900258,-108.67749561684256,-2.768271643135929,-0.00548654203395602,0.005121994755186581
