granularity,feature,eligible_rows,finite_rows,coverage_fraction,first_finite_timestamp,last_finite_timestamp,missingness_cause,symbol,timeframe,year,segment_start,segment_end,month,segment_id
symbol_timeframe_year,derivatives.premium,3840,3840,1.0,2024-01-01T00:00:00+00:00,2024-02-09T23:45:00+00:00,AVAILABLE,1000BONKUSDT,15m,2024,2023-11-22 14:00:00+00:00,2026-02-28 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,960,960,1.0,2024-01-01T00:00:00+00:00,2024-02-09T23:00:00+00:00,AVAILABLE,1000BONKUSDT,1h,2024,2023-11-22 14:00:00+00:00,2026-02-28 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,240,240,1.0,2024-01-01T00:00:00+00:00,2024-02-09T20:00:00+00:00,AVAILABLE,1000BONKUSDT,4h,2024,2023-11-22 12:00:00+00:00,2026-02-28 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,2880,2880,1.0,2023-11-01T00:00:00+00:00,2023-11-30T23:45:00+00:00,AVAILABLE,1000FLOKIUSDT,15m,2023,2023-09-01 00:00:00+00:00,2023-11-30 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,720,720,1.0,2023-11-01T00:00:00+00:00,2023-11-30T23:00:00+00:00,AVAILABLE,1000FLOKIUSDT,1h,2023,2023-09-01 00:00:00+00:00,2023-11-30 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,180,180,1.0,2023-11-01T00:00:00+00:00,2023-11-30T20:00:00+00:00,AVAILABLE,1000FLOKIUSDT,4h,2023,2023-09-01 00:00:00+00:00,2023-11-30 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,5856,5856,1.0,2022-11-01T00:00:00+00:00,2022-12-31T23:45:00+00:00,AVAILABLE,1000LUNCUSDT,15m,2022,2022-09-09 13:00:00+00:00,2023-03-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,14592,14592,1.0,2023-01-01T00:00:00+00:00,2023-12-31T23:45:00+00:00,AVAILABLE,1000LUNCUSDT,15m,2023,2022-09-09 13:00:00+00:00,2023-03-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,2976,2976,1.0,2024-01-01T00:00:00+00:00,2024-01-31T23:45:00+00:00,AVAILABLE,1000LUNCUSDT,15m,2024,2023-10-01 00:00:00+00:00,2024-01-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,1464,1464,1.0,2022-11-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,AVAILABLE,1000LUNCUSDT,1h,2022,2022-09-09 13:00:00+00:00,2023-03-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,3648,3648,1.0,2023-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,AVAILABLE,1000LUNCUSDT,1h,2023,2022-09-09 13:00:00+00:00,2023-03-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,744,744,1.0,2024-01-01T00:00:00+00:00,2024-01-31T23:00:00+00:00,AVAILABLE,1000LUNCUSDT,1h,2024,2023-10-01 00:00:00+00:00,2024-01-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,366,366,1.0,2022-11-01T00:00:00+00:00,2022-12-31T20:00:00+00:00,AVAILABLE,1000LUNCUSDT,4h,2022,2022-09-09 12:00:00+00:00,2023-03-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,912,912,1.0,2023-01-01T00:00:00+00:00,2023-12-31T20:00:00+00:00,AVAILABLE,1000LUNCUSDT,4h,2023,2022-09-09 12:00:00+00:00,2023-03-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,186,186,1.0,2024-01-01T00:00:00+00:00,2024-01-31T20:00:00+00:00,AVAILABLE,1000LUNCUSDT,4h,2024,2023-10-01 00:00:00+00:00,2024-01-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,17664,17664,1.0,2023-07-01T00:00:00+00:00,2023-12-31T23:45:00+00:00,AVAILABLE,1000PEPEUSDT,15m,2023,2023-05-05 16:30:00+00:00,2026-07-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,3840,3840,1.0,2024-01-01T00:00:00+00:00,2024-02-09T23:45:00+00:00,AVAILABLE,1000PEPEUSDT,15m,2024,2023-05-05 16:30:00+00:00,2026-07-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,4416,4416,1.0,2023-07-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,AVAILABLE,1000PEPEUSDT,1h,2023,2023-05-05 16:00:00+00:00,2026-07-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,960,960,1.0,2024-01-01T00:00:00+00:00,2024-02-09T23:00:00+00:00,AVAILABLE,1000PEPEUSDT,1h,2024,2023-05-05 16:00:00+00:00,2026-07-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,1104,1104,1.0,2023-07-01T00:00:00+00:00,2023-12-31T20:00:00+00:00,AVAILABLE,1000PEPEUSDT,4h,2023,2023-05-05 16:00:00+00:00,2026-07-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,240,240,1.0,2024-01-01T00:00:00+00:00,2024-02-09T20:00:00+00:00,AVAILABLE,1000PEPEUSDT,4h,2024,2023-05-05 16:00:00+00:00,2026-07-31 20:00:00+00:00,,
