trial_id,seed,blocks,preserve,samples,ci95_low,ci95_high
R2B0001,1729,calendar_month,all symbols together,1000,-0.0023500271936571075,-0.0020233506317487494
R2B0002,1729,calendar_month,all symbols together,1000,-0.0024906624178776247,-0.0014943743442288153
R2B0003,1729,calendar_month,all symbols together,1000,-0.0028698850143728753,-6.802414076054262e-05
R2B0004,1729,calendar_month,all symbols together,1000,-0.0032690743557156365,0.002260761125290378
R2B0005,1729,calendar_month,all symbols together,1000,-0.0025092359426750607,-0.0021745282150061455
R2B0006,1729,calendar_month,all symbols together,1000,-0.0031689944768599734,-0.0021101972175293898
R2B0007,1729,calendar_month,all symbols together,1000,-0.004677917334246505,-0.001731484381239768
R2B0008,1729,calendar_month,all symbols together,1000,-0.006641988206436044,-0.00154854052726662
R2B0009,1729,calendar_month,all symbols together,1000,-0.0026421097928223925,-0.001627412895505847
R2B0010,1729,calendar_month,all symbols together,1000,-0.003061389447877283,-0.00023186853517689226
R2B0011,1729,calendar_month,all symbols together,1000,-0.0033979037125227477,0.0019963741558945256
R2B0012,1729,calendar_month,all symbols together,1000,-0.003562853334922229,-0.0023838186387300773
R2B0013,1729,calendar_month,all symbols together,1000,-0.00564220466857586,-0.0025711480051069102
R2B0014,1729,calendar_month,all symbols together,1000,-0.0073453435324456195,-0.0016508988657276354
R2B0015,1729,calendar_month,all symbols together,1000,-0.0035247347264124335,-0.0006641183608510125
R2B0016,1729,calendar_month,all symbols together,1000,-0.0038864633549907366,0.0021698914006124657
R2B0017,1729,calendar_month,all symbols together,1000,-0.005469712409745988,-0.0023863568431357765
R2B0018,1729,calendar_month,all symbols together,1000,-0.009010259686429043,-0.0028744359036119156
R2B0019,1729,calendar_month,all symbols together,1000,-0.0018254717849938561,-0.0014907640573249403
R2B0020,1729,calendar_month,all symbols together,1000,-0.0018898027824706127,-0.000831005523140029
R2B0021,1729,calendar_month,all symbols together,1000,-0.0022685156187602345,0.0006779173342465018
R2B0022,1729,calendar_month,all symbols together,1000,-0.002451459472733383,0.0026419882064360415
R2B0023,1729,calendar_month,all symbols together,1000,-0.001976649368251252,-0.0016499728063428943
R2B0024,1729,calendar_month,all symbols together,1000,-0.002505625655771187,-0.0015093375821223776
R2B0025,1729,calendar_month,all symbols together,1000,-0.003931975859239461,-0.0011301149856271276
R2B0026,1729,calendar_month,all symbols together,1000,-0.006260761125290381,-0.0007309256442843672
R2B0027,1729,calendar_month,all symbols together,1000,-0.0016161813612699245,-0.00043714666507777277
R2B0028,1729,calendar_month,all symbols together,1000,-0.001428851994893092,0.0016422046685758576
R2B0029,1729,calendar_month,all symbols together,1000,-0.0023491011342723672,0.0033453435324456147
R2B0030,1729,calendar_month,all symbols together,1000,-0.0023725871044941553,-0.0013578902071776098
R2B0031,1729,calendar_month,all symbols together,1000,-0.00376813146482311,-0.0009386105521227204
R2B0032,1729,calendar_month,all symbols together,1000,-0.005996374155894529,-0.0006020962874772568
R2B0033,1729,calendar_month,all symbols together,1000,-0.0016136431568642255,0.0014697124097459843
R2B0034,1729,calendar_month,all symbols together,1000,-0.0011255640963880875,0.005010259686429041
R2B0035,1729,calendar_month,all symbols together,1000,-0.00333588163914899,-0.00047526527358756916
R2B0036,1729,calendar_month,all symbols together,1000,-0.006169891400612468,-0.00011353664500926679
R2B0037,1729,calendar_month,all symbols together,1000,-0.002184198327420066,-0.0019657125039053533
R2B0038,1729,calendar_month,all symbols together,1000,-0.0023006291744254673,-0.0014863068349440936
R2B0039,1729,calendar_month,all symbols together,1000,-0.0025832096153009555,-0.00015722954432721516
R2B0040,1729,calendar_month,all symbols together,1000,-0.0029944361811367615,0.0017069655446144388
R2B0041,1729,calendar_month,all symbols together,1000,-0.002372897972116861,-0.0021713671308156777
R2B0042,1729,calendar_month,all symbols together,1000,-0.003003217783249631,-0.0021840875875068517
R2B0043,1729,calendar_month,all symbols together,1000,-0.004287323199445062,-0.001758265333047014
R2B0044,1729,calendar_month,all symbols together,1000,-0.006371843850788554,-0.0014120576817991904
R2B0045,1729,calendar_month,all symbols together,1000,-0.0023189998585413677,-0.0015413937758931642
R2B0046,1729,calendar_month,all symbols together,1000,-0.0027013845488465284,-0.00024397410401426933
R2B0047,1729,calendar_month,all symbols together,1000,-0.0031977645236594982,0.0015566077691698196
R2B0048,1729,calendar_month,all symbols together,1000,-0.0029598499753831727,-0.0021318056358885233
R2B0049,1729,calendar_month,all symbols together,1000,-0.0044984431521899425,-0.0020537063654345327
R2B0050,1729,calendar_month,all symbols together,1000,-0.006496988267065928,-0.0017222487235742886
R2B0051,1729,calendar_month,all symbols together,1000,-0.002741889080581396,-0.0002778472913096441
R2B0052,1729,calendar_month,all symbols together,1000,-0.003736768529580706,0.0016645202146259414
R2B0053,1729,calendar_month,all symbols together,1000,-0.004743363286015002,-0.002019925149439498
R2B0054,1729,calendar_month,all symbols together,1000,-0.006640222068179778,-0.0013580638720728318
R2B0055,1729,calendar_month,all symbols together,1000,-0.0018286328691843232,-0.0016271020278831405
R2B0056,1729,calendar_month,all symbols together,1000,-0.0018159124124931504,-0.0009967822167503719
R2B0057,1729,calendar_month,all symbols together,1000,-0.0022417346669529885,0.000287323199445059
R2B0058,1729,calendar_month,all symbols together,1000,-0.0025879423182008127,0.0023718438507885505
R2B0059,1729,calendar_month,all symbols together,1000,-0.002034287496094648,-0.001815801672579935
R2B0060,1729,calendar_month,all symbols together,1000,-0.0025136931650559086,-0.001699370825574535
R2B0061,1729,calendar_month,all symbols together,1000,-0.0038427704556727883,-0.0014167903846990476
R2B0062,1729,calendar_month,all symbols together,1000,-0.0057069655446144426,-0.0010055638188632414
R2B0063,1729,calendar_month,all symbols together,1000,-0.0018681943641114785,-0.0010401500246168297
R2B0064,1729,calendar_month,all symbols together,1000,-0.0019462936345654702,0.0004984431521899398
R2B0065,1729,calendar_month,all symbols together,1000,-0.0022777512764257145,0.0024969882670659235
R2B0066,1729,calendar_month,all symbols together,1000,-0.002458606224106837,-0.0016810001414586336
R2B0067,1729,calendar_month,all symbols together,1000,-0.0037560258959857336,-0.0012986154511534745
R2B0068,1729,calendar_month,all symbols together,1000,-0.005556607769169823,-0.0008022354763405054
R2B0069,1729,calendar_month,all symbols together,1000,-0.0019800748505605045,0.0007433632860149998
R2B0070,1729,calendar_month,all symbols together,1000,-0.002641936127927172,0.002640222068179774
R2B0071,1729,calendar_month,all symbols together,1000,-0.003722152708690358,-0.0012581109194186066
R2B0072,1729,calendar_month,all symbols together,1000,-0.005664520214625945,-0.0002632314704192972
