trial_id,fold_id,feature_id,signal_variant,timeframe,side,horizon_bars,valid_fold,trades,aggregate_observations,aggregate_mean_net_return,aggregate_hac_t
R2B0001,F01,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,4,True,33664,10531,-0.0019586662887236123,-11.869994135064688
R2B0001,F02,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,4,True,76093,16512,-0.0021086949613749214,-15.957710117599026
R2B0001,F03,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,4,True,106570,15938,-0.0018957708119250651,-8.495338205463085
R2B0001,F04,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,4,True,95668,15478,-0.0021353570114999386,-14.200445099651962
R2B0001,F05,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,4,True,26094,9679,-0.002921984210248446,-13.673926458646973
R2B0001,F06,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,4,True,20330,10034,-0.0023936917147421685,-15.404946164584336
R2B0001,F07,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,4,True,48250,12717,-0.0023596128556935625,-17.180931187034098
R2B0001,F08,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,4,True,66558,14481,-0.002023191859996966,-20.21757150124935
R2B0002,F01,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,16,True,11980,6918,-0.0015722122015926821,-3.001922579727249
R2B0002,F02,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,16,True,29322,13055,-0.0019161202097490834,-4.292171500844517
R2B0002,F03,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,16,True,38892,13875,-0.0010784302416522351,-1.548122206503249
R2B0002,F04,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,16,True,36009,13046,-0.0019677401391602887,-4.0526859175440855
R2B0002,F05,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,16,True,14887,7462,-0.003501099222824678,-5.237504810146298
R2B0002,F06,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,16,True,12171,7276,-0.002709332183292903,-5.749674356598078
R2B0002,F07,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,16,True,22614,10051,-0.002517044320979575,-5.31994021465137
R2B0002,F08,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,16,True,27005,11737,-0.0015262756201767558,-4.5630993391964765
R2B0003,F01,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,48,True,4523,3414,-0.0008471279546230605,-0.6498545127019245
R2B0003,F02,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,48,True,11650,7805,-0.001330764176317026,-1.2294257989490918
R2B0003,F03,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,48,True,15033,9198,0.00097891342619657,0.6246665395205095
R2B0003,F04,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,48,True,14246,8692,-0.0012078772253593213,-1.0985899000951076
R2B0003,F05,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,48,True,8102,5105,-0.005827236979285916,-3.652777771703473
R2B0003,F06,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,48,True,6861,4757,-0.003491987255420142,-3.0105165126044047
R2B0003,F07,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,48,True,10616,6499,-0.002802969483271744,-2.5951755842489943
R2B0003,F08,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,48,True,11486,7648,0.0002527211184255078,0.3508541259846331
R2B0004,F01,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,96,True,2354,2016,0.0012425686477151024,0.5555361472703279
R2B0004,F02,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,96,True,6204,4715,-0.00010592506169826684,-0.05306823801981769
R2B0004,F03,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,96,True,7948,5325,0.005397208061971305,1.8200483681908974
R2B0004,F04,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,96,True,7633,5259,0.0009578992538282097,0.490073143043604
R2B0004,F05,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,96,True,5093,3531,-0.010053380465554549,-3.6953856715854694
R2B0004,F06,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,96,True,4456,3315,-0.004871715810000825,-2.3925283129031554
R2B0004,F07,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,96,True,6231,4448,-0.0023651101529387672,-1.2786301098493675
R2B0004,F08,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,96,True,6462,4673,0.0017381037288011507,1.4122198726145512
R2B0005,F01,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,4,True,16500,7894,-0.0024030794332214147,-11.58077817728929
R2B0005,F02,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,4,True,32728,11732,-0.002827265510034813,-16.36703004944604
R2B0005,F03,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,4,True,38583,9677,-0.0033446461912112323,-9.408792809764837
R2B0005,F04,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,4,True,60481,12737,-0.0025343147390140025,-14.52247293022042
R2B0005,F05,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,4,True,128639,17191,-0.001787752710823489,-10.63351847893161
