trial_id,feature_id,signal_variant,timeframe,side,horizon_bars,valid_fold_count,positive_fold_fraction,aggregate_observations,aggregate_mean_net_return,aggregate_hac_t,p_value,bootstrap_ci_low,bootstrap_ci_high,best_fold_aggregate_mean,worst_fold_aggregate_mean,top_symbol,max_top_symbol_share_abs,fdr_q_value,catastrophic_reversal,temporal_replication
R2B0001,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,4,8,0.0,105370,-0.0021857887706217857,-37.22607411962843,2.3812033828393253e-301,-0.0023500271936571075,-0.0020233506317487494,-0.0018957708119250651,-0.002921984210248446,LTCUSDT,0.023441851658398787,4.286166089110785e-300,True,NO_REPLICATION
R2B0002,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,16,8,0.0,83420,-0.0019848583504895657,-9.669931448826494,4.156161030663434e-22,-0.0024906624178776247,-0.0014943743442288153,-0.0010784302416522351,-0.003501099222824678,EOSUSDT,0.026041764333894518,1.760256436516278e-21,True,NO_REPLICATION
R2B0003,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,48,8,0.25,53118,-0.0014574465923652559,-2.8043019735275987,0.005044395374541997,-0.0028698850143728753,-6.802414076054262e-05,0.00097891342619657,-0.005827236979285916,BCHUSDT,0.025370415713590656,0.007412172795245383,True,NO_REPLICATION
R2B0004,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,96,8,0.5,33282,-0.000548728103354475,-0.5907620262262515,0.5546838935224028,-0.0032690743557156365,0.002260761125290378,0.005397208061971305,-0.010053380465554549,DOGEUSDT,0.044262268670796474,0.6144190820555846,False,NO_REPLICATION
R2B0005,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,4,8,0.0,109414,-0.0023286571107517095,-38.79659139131061,0.0,-0.0025092359426750607,-0.0021745282150061455,-0.001787752710823489,-0.0033446461912112323,BTCUSDT,0.024094600776919946,0.0,True,NO_REPLICATION
R2B0006,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,16,8,0.0,89495,-0.002590385740163684,-12.61990534665072,1.7620276600532313e-36,-0.0031689944768599734,-0.0021101972175293898,-0.0010799387764448879,-0.004457624857117557,LINKUSDT,0.024791879312392788,1.153327195671206e-35,True,NO_REPLICATION
R2B0007,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,48,8,0.125,56274,-0.003063036269623762,-5.968578113620624,2.4075793537654873e-09,-0.004677917334246505,-0.001731484381239768,0.0012857155904232843,-0.008745093727894726,ADAUSDT,0.027140480035781258,6.667142825812118e-09,True,NO_REPLICATION
R2B0008,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,96,8,0.25,34058,-0.003816208238002627,-4.109986066259957,3.966087388901768e-05,-0.006641988206436044,-0.00154854052726662,0.0034541672822146125,-0.01207126688010073,SOLUSDT,0.029658517052630666,7.932174777803536e-05,True,NO_REPLICATION
R2B0009,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,4,8,0.0,26595,-0.002139667317924577,-9.6639177225542,4.665233422845828e-22,-0.0026421097928223925,-0.001627412895505847,-0.0012898640704847395,-0.0038760382148095656,EOSUSDT,0.026460954926094966,1.866093369138331e-21,True,NO_REPLICATION
R2B0010,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,12,8,0.125,22663,-0.0016521258213455592,-2.783128481006273,0.005388204942220732,-0.003061389447877283,-0.00023186853517689226,0.000966872571493819,-0.006353375553235388,LTCUSDT,0.0261156545033401,0.007759015116797854,True,NO_REPLICATION
R2B0011,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,24,8,0.5,18403,-0.0006886772619788271,-0.6689032842863425,0.5035655660262175,-0.0033979037125227477,0.0019963741558945256,0.004871198274737962,-0.00860243435934557,DOGEUSDT,0.03777542224861597,0.5665112617794947,False,NO_REPLICATION
R2B0012,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,4,8,0.0,27614,-0.002935137128783539,-12.873727173519393,8.129967389897731e-38,-0.003562853334922229,-0.0023838186387300773,-0.0010398525624600225,-0.00553817408005157,LINKUSDT,0.030169996188651203,5.853576520726366e-37,True,NO_REPLICATION
R2B0013,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,12,8,0.125,24024,-0.003948368791706622,-6.547988141628265,5.94949257237801e-11,-0.00564220466857586,-0.0025711480051069102,0.0006665265342346408,-0.010000520904782078,BNBUSDT,0.0272973491435136,1.784847771713403e-10,True,NO_REPLICATION
R2B0014,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,24,8,0.125,19441,-0.004213379267068738,-4.013704852727384,5.9997132264795845e-05,-0.0073453435324456195,-0.0016508988657276354,0.004379647448489406,-0.015056269409430178,SOLUSDT,0.031686905358623015,0.00011367877692277108,True,NO_REPLICATION
