trial_id,fold_id,scope,symbols_traded,top_symbol,top_symbol_share_abs
R2B0001,F01,fold_diagnostic,24,ETCUSDT,0.06369817370902703
R2B0001,F02,fold_diagnostic,62,XTZUSDT,0.03499435579788968
R2B0001,F03,fold_diagnostic,80,SXPUSDT,0.026506036530539907
R2B0001,F04,fold_diagnostic,93,ICPUSDT,0.02849184005357608
R2B0001,F05,fold_diagnostic,98,1000SHIBUSDT,0.05767919027354488
R2B0001,F06,fold_diagnostic,85,1000SHIBUSDT,0.07528887795107062
R2B0001,F07,fold_diagnostic,97,1000SHIBUSDT,0.039000416982121866
R2B0001,F08,fold_diagnostic,99,1000PEPEUSDT,0.048004308042704634
R2B0001,ALL_VALID,aggregate_valid_gate,183,LTCUSDT,0.023441851658398787
R2B0002,F01,fold_diagnostic,24,XRPUSDT,0.08027940074297428
R2B0002,F02,fold_diagnostic,62,EOSUSDT,0.04164642787578996
R2B0002,F03,fold_diagnostic,80,DOGEUSDT,0.05117225977781487
R2B0002,F04,fold_diagnostic,93,ICPUSDT,0.041447561085857454
R2B0002,F05,fold_diagnostic,98,1000SHIBUSDT,0.046286673140030196
R2B0002,F06,fold_diagnostic,85,GALAUSDT,0.04953269237099943
R2B0002,F07,fold_diagnostic,97,1000SHIBUSDT,0.033449935052039796
R2B0002,F08,fold_diagnostic,99,1000PEPEUSDT,0.0473214359873113
R2B0002,ALL_VALID,aggregate_valid_gate,183,EOSUSDT,0.026041764333894518
R2B0003,F01,fold_diagnostic,24,VETUSDT,0.11409192538207585
R2B0003,F02,fold_diagnostic,62,KAVAUSDT,0.06760139255464574
R2B0003,F03,fold_diagnostic,80,DOGEUSDT,0.10911389118872152
R2B0003,F04,fold_diagnostic,93,LUNAUSDT,0.04582951251632728
R2B0003,F05,fold_diagnostic,98,1000SHIBUSDT,0.03736559149653927
R2B0003,F06,fold_diagnostic,85,GALAUSDT,0.05287233554793233
R2B0003,F07,fold_diagnostic,97,CTSIUSDT,0.032365342929499254
R2B0003,F08,fold_diagnostic,99,TRBUSDT,0.08065754857525466
R2B0003,ALL_VALID,aggregate_valid_gate,183,BCHUSDT,0.025370415713590656
R2B0004,F01,fold_diagnostic,24,LINKUSDT,0.0989437125621994
R2B0004,F02,fold_diagnostic,62,SUSHIUSDT,0.06322413615133003
R2B0004,F03,fold_diagnostic,80,DOGEUSDT,0.1271567014096268
R2B0004,F04,fold_diagnostic,93,SANDUSDT,0.06470894626525864
R2B0004,F05,fold_diagnostic,98,SUSHIUSDT,0.0308202991914057
R2B0004,F06,fold_diagnostic,85,SOLUSDT,0.03886337477693386
R2B0004,F07,fold_diagnostic,97,APTUSDT,0.0383665673635974
R2B0004,F08,fold_diagnostic,99,TRBUSDT,0.09913286852405637
R2B0004,ALL_VALID,aggregate_valid_gate,183,DOGEUSDT,0.044262268670796474
R2B0005,F01,fold_diagnostic,24,BTCUSDT,0.08034531806705306
R2B0005,F02,fold_diagnostic,62,LINKUSDT,0.049653761961850056
R2B0005,F03,fold_diagnostic,80,SXPUSDT,0.03938938787709069
R2B0005,F04,fold_diagnostic,93,AXSUSDT,0.033360032353843196
R2B0005,F05,fold_diagnostic,98,AXSUSDT,0.02420091712166268
R2B0005,F06,fold_diagnostic,86,MATICUSDT,0.02485149073561026
R2B0005,F07,fold_diagnostic,97,ETHUSDT,0.02370745442715004
R2B0005,F08,fold_diagnostic,99,BCHUSDT,0.025084212439049163
R2B0005,ALL_VALID,aggregate_valid_gate,184,BTCUSDT,0.024094600776919946
R2B0006,F01,fold_diagnostic,24,BTCUSDT,0.06591160290520556
R2B0006,F02,fold_diagnostic,62,THETAUSDT,0.04516963139767368
R2B0006,F03,fold_diagnostic,80,DOGEUSDT,0.041440685640329024
R2B0006,F04,fold_diagnostic,93,LUNAUSDT,0.045769983142506285
R2B0006,F05,fold_diagnostic,98,ANCUSDT,0.026810789487337266
R2B0006,F06,fold_diagnostic,86,ATOMUSDT,0.030311359072342493
R2B0006,F07,fold_diagnostic,97,MASKUSDT,0.030364364604540086
R2B0006,F08,fold_diagnostic,99,TRBUSDT,0.05171618559258262
R2B0006,ALL_VALID,aggregate_valid_gate,184,LINKUSDT,0.024791879312392788
R2B0007,F01,fold_diagnostic,24,VETUSDT,0.0709839659195025
R2B0007,F02,fold_diagnostic,62,ZILUSDT,0.054636685531214715
R2B0007,F03,fold_diagnostic,80,DOGEUSDT,0.059474819536918744
R2B0007,F04,fold_diagnostic,93,ALICEUSDT,0.050961141869279
R2B0007,F05,fold_diagnostic,98,ANCUSDT,0.0692720697937457
R2B0007,F06,fold_diagnostic,86,MATICUSDT,0.04717792130631153
R2B0007,F07,fold_diagnostic,97,BCHUSDT,0.034853309330073655
R2B0007,F08,fold_diagnostic,99,TRBUSDT,0.0778919302798788
R2B0007,ALL_VALID,aggregate_valid_gate,184,ADAUSDT,0.027140480035781258
R2B0008,F01,fold_diagnostic,24,VETUSDT,0.07034153418324256
R2B0008,F02,fold_diagnostic,62,THETAUSDT,0.06315575185912949
R2B0008,F03,fold_diagnostic,80,DOGEUSDT,0.07284583156378649
R2B0008,F04,fold_diagnostic,93,SANDUSDT,0.06082337306036857
R2B0008,F05,fold_diagnostic,98,SUSHIUSDT,0.03929325788713785
R2B0008,F06,fold_diagnostic,86,MATICUSDT,0.03978380186221127
R2B0008,F07,fold_diagnostic,97,GRTUSDT,0.03787764110981141
R2B0008,F08,fold_diagnostic,99,TRBUSDT,0.10822310499421081
R2B0008,ALL_VALID,aggregate_valid_gate,184,SOLUSDT,0.029658517052630666
R2B0009,F01,fold_diagnostic,24,EOSUSDT,0.07223896222242529
R2B0009,F02,fold_diagnostic,62,ATOMUSDT,0.044405048692755
R2B0009,F03,fold_diagnostic,80,THETAUSDT,0.04394773867145957
R2B0009,F04,fold_diagnostic,93,DOGEUSDT,0.03910687519706798
R2B0009,F05,fold_diagnostic,98,GALAUSDT,0.06767671443409744
R2B0009,F06,fold_diagnostic,84,HNTUSDT,0.0615512269155551
R2B0009,F07,fold_diagnostic,97,GALAUSDT,0.045366300227479124
R2B0009,F08,fold_diagnostic,99,1000PEPEUSDT,0.057380530147631094
R2B0009,ALL_VALID,aggregate_valid_gate,183,EOSUSDT,0.026460954926094966
R2B0010,F01,fold_diagnostic,24,XLMUSDT,0.092276961943064
R2B0010,F02,fold_diagnostic,62,KAVAUSDT,0.0706709098795048
R2B0010,F03,fold_diagnostic,80,DOGEUSDT,0.08375528213012388
R2B0010,F04,fold_diagnostic,93,LUNAUSDT,0.046811295370385676
R2B0010,F05,fold_diagnostic,98,GALAUSDT,0.0437432080563617
R2B0010,F06,fold_diagnostic,84,GALAUSDT,0.04901835917348962
R2B0010,F07,fold_diagnostic,97,GALAUSDT,0.04502780570120816
R2B0010,F08,fold_diagnostic,99,TRBUSDT,0.07993088196482695
R2B0010,ALL_VALID,aggregate_valid_gate,183,LTCUSDT,0.0261156545033401
R2B0011,F01,fold_diagnostic,24,VETUSDT,0.15359945358880678
R2B0011,F02,fold_diagnostic,62,SXPUSDT,0.06786035845221221
R2B0011,F03,fold_diagnostic,80,DOGEUSDT,0.1221649381953854
R2B0011,F04,fold_diagnostic,93,1000SHIBUSDT,0.061219695472558455
R2B0011,F05,fold_diagnostic,98,1000SHIBUSDT,0.04257275651453585
R2B0011,F06,fold_diagnostic,84,GALAUSDT,0.04609190694402664
R2B0011,F07,fold_diagnostic,97,LDOUSDT,0.036700514741553586
R2B0011,F08,fold_diagnostic,99,TRBUSDT,0.07755471550355336
R2B0011,ALL_VALID,aggregate_valid_gate,183,DOGEUSDT,0.03777542224861597
R2B0012,F01,fold_diagnostic,24,LINKUSDT,0.10494431218470927
R2B0012,F02,fold_diagnostic,62,THETAUSDT,0.06343878561699558
R2B0012,F03,fold_diagnostic,80,AVAXUSDT,0.04676557806238617
R2B0012,F04,fold_diagnostic,93,LUNAUSDT,0.048236155734942984
R2B0012,F05,fold_diagnostic,98,THETAUSDT,0.03371325895558701
R2B0012,F06,fold_diagnostic,86,DOGEUSDT,0.03297782023248704
R2B0012,F07,fold_diagnostic,97,GALAUSDT,0.030468352693545097
R2B0012,F08,fold_diagnostic,99,TRBUSDT,0.04986013336738696
R2B0012,ALL_VALID,aggregate_valid_gate,184,LINKUSDT,0.030169996188651203
R2B0013,F01,fold_diagnostic,24,ETHUSDT,0.08494447726161578
R2B0013,F02,fold_diagnostic,62,THETAUSDT,0.06932908953347824
R2B0013,F03,fold_diagnostic,80,DOGEUSDT,0.06978495327880711
R2B0013,F04,fold_diagnostic,93,LUNAUSDT,0.06467653874739958
R2B0013,F05,fold_diagnostic,98,ANCUSDT,0.06649226482820757
R2B0013,F06,fold_diagnostic,86,DOGEUSDT,0.04531159817443297
R2B0013,F07,fold_diagnostic,97,APTUSDT,0.030768727054703737
R2B0013,F08,fold_diagnostic,99,TRBUSDT,0.08662939492314314
R2B0013,ALL_VALID,aggregate_valid_gate,184,BNBUSDT,0.0272973491435136
R2B0014,F01,fold_diagnostic,24,ETHUSDT,0.07976821384030754
R2B0014,F02,fold_diagnostic,62,ZILUSDT,0.05349605559386071
R2B0014,F03,fold_diagnostic,80,DOGEUSDT,0.07172119346016198
R2B0014,F04,fold_diagnostic,93,GALAUSDT,0.06112837543050018
R2B0014,F05,fold_diagnostic,98,ANCUSDT,0.03794546607576257
R2B0014,F06,fold_diagnostic,86,MASKUSDT,0.044143280900842526
R2B0014,F07,fold_diagnostic,97,BCHUSDT,0.0380233746302627
R2B0014,F08,fold_diagnostic,99,TRBUSDT,0.11034011651138975
R2B0014,ALL_VALID,aggregate_valid_gate,184,SOLUSDT,0.031686905358623015
R2B0015,F01,fold_diagnostic,24,XRPUSDT,0.13658968427656426
R2B0015,F02,fold_diagnostic,62,RLCUSDT,0.06355713487454724
R2B0015,F03,fold_diagnostic,80,DOGEUSDT,0.0576644530989686
R2B0015,F04,fold_diagnostic,92,ICPUSDT,0.04203041772068017
R2B0015,F05,fold_diagnostic,97,GALAUSDT,0.06416009684548911
R2B0015,F06,fold_diagnostic,83,HNTUSDT,0.08786974357396178
R2B0015,F07,fold_diagnostic,97,ETCUSDT,0.041859954231575396
R2B0015,F08,fold_diagnostic,99,TRBUSDT,0.08806034896892731
R2B0015,ALL_VALID,aggregate_valid_gate,183,SOLUSDT,0.02880456154523164
R2B0016,F01,fold_diagnostic,24,VETUSDT,0.10678711356700886
R2B0016,F02,fold_diagnostic,62,KAVAUSDT,0.06187882477210935
R2B0016,F03,fold_diagnostic,80,DOGEUSDT,0.15883729628259818
R2B0016,F04,fold_diagnostic,92,1000SHIBUSDT,0.06157472396127596
R2B0016,F05,fold_diagnostic,97,GALAUSDT,0.0587746683720895
R2B0016,F06,fold_diagnostic,83,FILUSDT,0.058706700175877174
R2B0016,F07,fold_diagnostic,97,CRVUSDT,0.03870953097273522
R2B0016,F08,fold_diagnostic,99,TRBUSDT,0.05978787448814222
R2B0016,ALL_VALID,aggregate_valid_gate,183,DOGEUSDT,0.05606771057664892
R2B0017,F01,fold_diagnostic,24,XLMUSDT,0.0964899600333293
R2B0017,F02,fold_diagnostic,62,THETAUSDT,0.06685137287748799
R2B0017,F03,fold_diagnostic,76,RSRUSDT,0.06459604639685981
R2B0017,F04,fold_diagnostic,92,LUNAUSDT,0.053108790982210226
R2B0017,F05,fold_diagnostic,98,ANCUSDT,0.06053536173840729
R2B0017,F06,fold_diagnostic,86,MATICUSDT,0.039640495516122524
R2B0017,F07,fold_diagnostic,97,BCHUSDT,0.03707897032260691
R2B0017,F08,fold_diagnostic,98,TRBUSDT,0.09562379010262245
R2B0017,ALL_VALID,aggregate_valid_gate,183,BCHUSDT,0.025619395771703652
R2B0018,F01,fold_diagnostic,24,ETHUSDT,0.08213853247447354
R2B0018,F02,fold_diagnostic,62,WAVESUSDT,0.058718840915355563
R2B0018,F03,fold_diagnostic,75,DOGEUSDT,0.11922120223780812
R2B0018,F04,fold_diagnostic,92,LUNAUSDT,0.05538000456724687
R2B0018,F05,fold_diagnostic,98,AXSUSDT,0.03816540059440971
R2B0018,F06,fold_diagnostic,86,WAVESUSDT,0.03330518440301983
R2B0018,F07,fold_diagnostic,97,GMTUSDT,0.039838738314991504
R2B0018,F08,fold_diagnostic,98,TRBUSDT,0.08272464442084827
R2B0018,ALL_VALID,aggregate_valid_gate,183,DOGEUSDT,0.040506673202866314
R2B0019,F01,fold_diagnostic,24,BTCUSDT,0.11350967742114282
R2B0019,F02,fold_diagnostic,62,BTCUSDT,0.05978234031470829
R2B0019,F03,fold_diagnostic,80,SXPUSDT,0.06577475474299437
R2B0019,F04,fold_diagnostic,93,ETCUSDT,0.032241259696338516
R2B0019,F05,fold_diagnostic,98,DYDXUSDT,0.022669328941773235
R2B0019,F06,fold_diagnostic,86,GMTUSDT,0.024391925974829674
R2B0019,F07,fold_diagnostic,97,APEUSDT,0.027714193581430444
R2B0019,F08,fold_diagnostic,99,BCHUSDT,0.027032011664528913
R2B0019,ALL_VALID,aggregate_valid_gate,184,BTCUSDT,0.026416974400323704
R2B0020,F01,fold_diagnostic,24,TRXUSDT,0.16064979639002058
R2B0020,F02,fold_diagnostic,62,SUSHIUSDT,0.08293682191860352
R2B0020,F03,fold_diagnostic,80,SXPUSDT,0.04733998120476152
R2B0020,F04,fold_diagnostic,93,LUNAUSDT,0.047315393968849415
R2B0020,F05,fold_diagnostic,98,AVAXUSDT,0.02418766037595192
R2B0020,F06,fold_diagnostic,86,GMTUSDT,0.027256608635332753
R2B0020,F07,fold_diagnostic,97,APEUSDT,0.03291149910186319
R2B0020,F08,fold_diagnostic,99,TRBUSDT,0.04169293795739771
R2B0020,ALL_VALID,aggregate_valid_gate,184,BTCUSDT,0.024476927583404234
R2B0021,F01,fold_diagnostic,24,VETUSDT,0.11874418399926563
R2B0021,F02,fold_diagnostic,62,ZILUSDT,0.07229199585038097
R2B0021,F03,fold_diagnostic,80,DOGEUSDT,0.06311661661972112
R2B0021,F04,fold_diagnostic,93,ALICEUSDT,0.05018828662110804
R2B0021,F05,fold_diagnostic,98,ANCUSDT,0.029890527685973764
R2B0021,F06,fold_diagnostic,86,WAVESUSDT,0.03972571046960807
R2B0021,F07,fold_diagnostic,97,DOGEUSDT,0.03440005838139419
R2B0021,F08,fold_diagnostic,99,TRBUSDT,0.09876266569996485
R2B0021,ALL_VALID,aggregate_valid_gate,184,EOSUSDT,0.032640970603841676
R2B0022,F01,fold_diagnostic,24,VETUSDT,0.09541201319752408
R2B0022,F02,fold_diagnostic,62,THETAUSDT,0.0722115015606253
R2B0022,F03,fold_diagnostic,80,DOGEUSDT,0.07739784092428065
R2B0022,F04,fold_diagnostic,93,SANDUSDT,0.06314123386707203
R2B0022,F05,fold_diagnostic,98,SUSHIUSDT,0.029385197545056006
R2B0022,F06,fold_diagnostic,86,GMTUSDT,0.03635817174525515
R2B0022,F07,fold_diagnostic,97,GRTUSDT,0.048360958436967916
R2B0022,F08,fold_diagnostic,99,TRBUSDT,0.1361784149951342
R2B0022,ALL_VALID,aggregate_valid_gate,184,TRBUSDT,0.033710116252861494
R2B0023,F01,fold_diagnostic,24,EOSUSDT,0.05356326653502689
R2B0023,F02,fold_diagnostic,62,LTCUSDT,0.03933204618059117
R2B0023,F03,fold_diagnostic,80,DOGEUSDT,0.03176619763762517
