trial_id,feature_id,signal_variant,timeframe,side,horizon_bars,valid_fold_count,positive_fold_fraction,aggregate_hac_t,fdr_q_value,max_top_symbol_share_abs,catastrophic_reversal,temporal_replication
R2B0001,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,4,8,0.0,-37.22607411962843,4.286166089110785e-300,0.023441851658398787,True,NO_REPLICATION
R2B0002,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,16,8,0.0,-9.669931448826494,1.760256436516278e-21,0.026041764333894518,True,NO_REPLICATION
R2B0003,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,48,8,0.25,-2.8043019735275987,0.007412172795245383,0.025370415713590656,True,NO_REPLICATION
R2B0004,derivatives.premium,PRESSURE_CONTINUATION,15m,LONG,96,8,0.5,-0.5907620262262515,0.6144190820555846,0.044262268670796474,False,NO_REPLICATION
R2B0005,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,4,8,0.0,-38.79659139131061,0.0,0.024094600776919946,True,NO_REPLICATION
R2B0006,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,16,8,0.0,-12.61990534665072,1.153327195671206e-35,0.024791879312392788,True,NO_REPLICATION
R2B0007,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,48,8,0.125,-5.968578113620624,6.667142825812118e-09,0.027140480035781258,True,NO_REPLICATION
R2B0008,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,96,8,0.25,-4.109986066259957,7.932174777803536e-05,0.029658517052630666,True,NO_REPLICATION
R2B0009,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,4,8,0.0,-9.6639177225542,1.866093369138331e-21,0.026460954926094966,True,NO_REPLICATION
R2B0010,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,12,8,0.125,-2.783128481006273,0.007759015116797854,0.0261156545033401,True,NO_REPLICATION
R2B0011,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,24,8,0.5,-0.6689032842863425,0.5665112617794947,0.03777542224861597,False,NO_REPLICATION
R2B0012,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,4,8,0.0,-12.873727173519393,5.853576520726366e-37,0.030169996188651203,True,NO_REPLICATION
R2B0013,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,12,8,0.125,-6.547988141628265,1.784847771713403e-10,0.0272973491435136,True,NO_REPLICATION
R2B0014,derivatives.premium,PRESSURE_CONTINUATION,1h,SHORT,24,8,0.125,-4.013704852727384,0.00011367877692277108,0.031686905358623015,True,NO_REPLICATION
