fold_id,block,validation_start_utc,validation_end_exclusive_utc,history_end_exclusive_utc,timeframe,horizon_bars,purge_bars,embargo_bars,minimum_trades,status,selection_basis
F01,2020-H1,2020-01-01T00:15:00Z,2020-07-01T00:00:00Z,2019-12-31T23:15:00Z,15m,4,4,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F01,2020-H1,2020-01-01T00:15:00Z,2020-07-01T00:00:00Z,2019-12-31T20:15:00Z,15m,16,16,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F01,2020-H1,2020-01-01T00:15:00Z,2020-07-01T00:00:00Z,2019-12-31T12:15:00Z,15m,48,48,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F01,2020-H1,2020-01-01T00:15:00Z,2020-07-01T00:00:00Z,2019-12-31T00:15:00Z,15m,96,96,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F01,2020-H1,2020-01-01T01:00:00Z,2020-07-01T00:00:00Z,2019-12-31T21:00:00Z,1h,4,4,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F01,2020-H1,2020-01-01T01:00:00Z,2020-07-01T00:00:00Z,2019-12-31T13:00:00Z,1h,12,12,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F01,2020-H1,2020-01-01T01:00:00Z,2020-07-01T00:00:00Z,2019-12-31T01:00:00Z,1h,24,24,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F01,2020-H1,2020-01-01T04:00:00Z,2020-07-01T00:00:00Z,2019-12-31T16:00:00Z,4h,3,3,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F01,2020-H1,2020-01-01T04:00:00Z,2020-07-01T00:00:00Z,2019-12-31T04:00:00Z,4h,6,6,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F02,2020-H2,2020-07-01T00:15:00Z,2021-01-01T00:00:00Z,2020-06-30T23:15:00Z,15m,4,4,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F02,2020-H2,2020-07-01T00:15:00Z,2021-01-01T00:00:00Z,2020-06-30T20:15:00Z,15m,16,16,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F02,2020-H2,2020-07-01T00:15:00Z,2021-01-01T00:00:00Z,2020-06-30T12:15:00Z,15m,48,48,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F02,2020-H2,2020-07-01T00:15:00Z,2021-01-01T00:00:00Z,2020-06-30T00:15:00Z,15m,96,96,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F02,2020-H2,2020-07-01T01:00:00Z,2021-01-01T00:00:00Z,2020-06-30T21:00:00Z,1h,4,4,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F02,2020-H2,2020-07-01T01:00:00Z,2021-01-01T00:00:00Z,2020-06-30T13:00:00Z,1h,12,12,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F02,2020-H2,2020-07-01T01:00:00Z,2021-01-01T00:00:00Z,2020-06-30T01:00:00Z,1h,24,24,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F02,2020-H2,2020-07-01T04:00:00Z,2021-01-01T00:00:00Z,2020-06-30T16:00:00Z,4h,3,3,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F02,2020-H2,2020-07-01T04:00:00Z,2021-01-01T00:00:00Z,2020-06-30T04:00:00Z,4h,6,6,1,30,PREREGISTERED,calendar_block_and_time_structure_only
