trial_id,feature_id,market,timeframe,side,cohort,horizon_bars,signal_rule,status
R2B0001,derivatives.premium,um,15m,LONG,top50,4,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0002,derivatives.premium,um,15m,LONG,top50,16,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0003,derivatives.premium,um,15m,LONG,top50,48,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0004,derivatives.premium,um,15m,LONG,top50,96,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0005,derivatives.premium,um,15m,SHORT,top50,4,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0006,derivatives.premium,um,15m,SHORT,top50,16,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0007,derivatives.premium,um,15m,SHORT,top50,48,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0008,derivatives.premium,um,15m,SHORT,top50,96,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0009,derivatives.premium,um,1h,LONG,top50,4,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0010,derivatives.premium,um,1h,LONG,top50,12,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0011,derivatives.premium,um,1h,LONG,top50,24,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0012,derivatives.premium,um,1h,SHORT,top50,4,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0013,derivatives.premium,um,1h,SHORT,top50,12,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0014,derivatives.premium,um,1h,SHORT,top50,24,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0015,derivatives.premium,um,4h,LONG,top50,3,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0016,derivatives.premium,um,4h,LONG,top50,6,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0017,derivatives.premium,um,4h,SHORT,top50,3,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0018,derivatives.premium,um,4h,SHORT,top50,6,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0019,derivatives.premium_zscore,um,15m,LONG,top50,4,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0020,derivatives.premium_zscore,um,15m,LONG,top50,16,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0021,derivatives.premium_zscore,um,15m,LONG,top50,48,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0022,derivatives.premium_zscore,um,15m,LONG,top50,96,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0023,derivatives.premium_zscore,um,15m,SHORT,top50,4,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0024,derivatives.premium_zscore,um,15m,SHORT,top50,16,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0025,derivatives.premium_zscore,um,15m,SHORT,top50,48,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0026,derivatives.premium_zscore,um,15m,SHORT,top50,96,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0027,derivatives.premium_zscore,um,1h,LONG,top50,4,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0028,derivatives.premium_zscore,um,1h,LONG,top50,12,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0029,derivatives.premium_zscore,um,1h,LONG,top50,24,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0030,derivatives.premium_zscore,um,1h,SHORT,top50,4,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0031,derivatives.premium_zscore,um,1h,SHORT,top50,12,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0032,derivatives.premium_zscore,um,1h,SHORT,top50,24,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0033,derivatives.premium_zscore,um,4h,LONG,top50,3,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0034,derivatives.premium_zscore,um,4h,LONG,top50,6,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0035,derivatives.premium_zscore,um,4h,SHORT,top50,3,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
R2B0036,derivatives.premium_zscore,um,4h,SHORT,top50,6,UNDEFINED_SIGNAL_SEMANTICS,BLOCKED_IMPLEMENTATION
