trial_id,feature_id,signal_variant,market,timeframe,side,cohort,horizon_bars,signal_rule,status
R2B0001,derivatives.premium,PRESSURE_CONTINUATION,um,15m,LONG,top50,4,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0002,derivatives.premium,PRESSURE_CONTINUATION,um,15m,LONG,top50,16,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0003,derivatives.premium,PRESSURE_CONTINUATION,um,15m,LONG,top50,48,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0004,derivatives.premium,PRESSURE_CONTINUATION,um,15m,LONG,top50,96,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0005,derivatives.premium,PRESSURE_CONTINUATION,um,15m,SHORT,top50,4,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0006,derivatives.premium,PRESSURE_CONTINUATION,um,15m,SHORT,top50,16,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0007,derivatives.premium,PRESSURE_CONTINUATION,um,15m,SHORT,top50,48,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0008,derivatives.premium,PRESSURE_CONTINUATION,um,15m,SHORT,top50,96,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0009,derivatives.premium,PRESSURE_CONTINUATION,um,1h,LONG,top50,4,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0010,derivatives.premium,PRESSURE_CONTINUATION,um,1h,LONG,top50,12,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0011,derivatives.premium,PRESSURE_CONTINUATION,um,1h,LONG,top50,24,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0012,derivatives.premium,PRESSURE_CONTINUATION,um,1h,SHORT,top50,4,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0013,derivatives.premium,PRESSURE_CONTINUATION,um,1h,SHORT,top50,12,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0014,derivatives.premium,PRESSURE_CONTINUATION,um,1h,SHORT,top50,24,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0015,derivatives.premium,PRESSURE_CONTINUATION,um,4h,LONG,top50,3,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0016,derivatives.premium,PRESSURE_CONTINUATION,um,4h,LONG,top50,6,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0017,derivatives.premium,PRESSURE_CONTINUATION,um,4h,SHORT,top50,3,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0018,derivatives.premium,PRESSURE_CONTINUATION,um,4h,SHORT,top50,6,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0019,derivatives.premium,CROWDING_REVERSION,um,15m,LONG,top50,4,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0020,derivatives.premium,CROWDING_REVERSION,um,15m,LONG,top50,16,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0021,derivatives.premium,CROWDING_REVERSION,um,15m,LONG,top50,48,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0022,derivatives.premium,CROWDING_REVERSION,um,15m,LONG,top50,96,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0023,derivatives.premium,CROWDING_REVERSION,um,15m,SHORT,top50,4,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0024,derivatives.premium,CROWDING_REVERSION,um,15m,SHORT,top50,16,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0025,derivatives.premium,CROWDING_REVERSION,um,15m,SHORT,top50,48,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0026,derivatives.premium,CROWDING_REVERSION,um,15m,SHORT,top50,96,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0027,derivatives.premium,CROWDING_REVERSION,um,1h,LONG,top50,4,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0028,derivatives.premium,CROWDING_REVERSION,um,1h,LONG,top50,12,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0029,derivatives.premium,CROWDING_REVERSION,um,1h,LONG,top50,24,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0030,derivatives.premium,CROWDING_REVERSION,um,1h,SHORT,top50,4,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0031,derivatives.premium,CROWDING_REVERSION,um,1h,SHORT,top50,12,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0032,derivatives.premium,CROWDING_REVERSION,um,1h,SHORT,top50,24,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0033,derivatives.premium,CROWDING_REVERSION,um,4h,LONG,top50,3,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0034,derivatives.premium,CROWDING_REVERSION,um,4h,LONG,top50,6,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
